日期,TQI,年份,月份
2024-01-06,4.157895,2024,1
2024-01-13,4.959799,2024,1
2024-01-22,4.722598,2024,1
2024-01-29,4.811385,2024,1
2024-02-08,5.009632,2024,2
2024-02-24,4.5146135,2024,2
2024-02-29,4.792342,2024,2
2024-03-14,4.856821,2024,3
2024-03-22,3.609538,2024,3
2024-03-29,3.67352,2024,3
2024-04-14,3.885051,2024,4
2024-04-29,3.851541,2024,4
2024-05-14,4.074739,2024,5
2024-05-24,3.97327,2024,5
2024-06-11,3.949751,2024,6
2024-06-24,2.847434,2024,6
2024-07-11,2.966274,2024,7
2024-07-24,2.998254,2024,7
2024-08-11,3.037011,2024,8
2024-08-24,3.083218,2024,8
2024-09-09,3.114885,2024,9
2024-09-23,3.113816,2024,9
2024-10-13,3.092955,2024,10
2024-10-27,3.134502,2024,10
2024-11-13,3.090198,2024,11
2024-11-28,3.109686,2024,11
2024-12-07,3.337462,2024,12
2024-12-14,4.461838,2024,12
2024-12-22,3.615938,2024,12
2024-12-29,4.37946,2024,12
2025-01-15,4.7208675,2025,1
2025-01-26,4.4678155,2025,1
2025-02-06,4.779673,2025,2
2025-02-13,4.996342,2025,2
2025-02-27,4.619349,2025,2
2025-03-07,5.217111,2025,3
2025-03-14,4.804543,2025,3
2025-03-22,3.937635,2025,3
2025-03-29,3.579976,2025,3
2025-04-07,3.660337,2025,4
2025-04-14,3.659418,2025,4
2025-04-22,3.748875,2025,4
2025-04-29,3.79886,2025,4
2025-05-10,3.818365,2025,5
2025-05-24,3.949797,2025,5
2025-06-09,3.768124,2025,6
2025-06-24,3.899082,2025,6
2025-07-10,3.874556,2025,7
2025-07-23,3.917068,2025,7
2025-08-08,3.974792,2025,8
2025-08-24,4.000105,2025,8
2025-09-08,3.986056,2025,9
2025-09-24,3.981417,2025,9
2025-10-14,4.003565,2025,10
2025-10-27,3.973684,2025,10
2025-11-07,3.391862,2025,11
2025-11-22,3.380654,2025,11
2025-12-07,4.442278,2025,12
2025-12-14,3.679881,2025,12
