检测日期,TQI值,年份,月份,距2021年
2012-12-12,2.225,2012,12,-9
2012-12-20,2.183,2012,12,-9
2012-12-28,2.288,2012,12,-9
2013-01-10,2.274,2013,1,-8
2013-01-18,2.34,2013,1,-8
2013-01-30,2.334,2013,1,-8
2013-03-01,2.011,2013,3,-8
2013-03-20,2.744,2013,3,-8
2013-03-29,2.532,2013,3,-8
2013-04-06,2.527,2013,4,-8
2013-04-25,3.0084999999999997,2013,4,-8
2013-05-04,2.743,2013,5,-8
2013-05-15,2.729,2013,5,-8
2013-05-31,2.681,2013,5,-8
2013-06-11,2.954,2013,6,-8
2013-06-20,2.954,2013,6,-8
2013-07-04,2.614,2013,7,-8
2013-07-12,2.8,2013,7,-8
2013-07-22,2.868,2013,7,-8
2013-08-19,2.88,2013,8,-8
2013-09-28,2.846,2013,9,-8
2013-10-29,3.06,2013,10,-8
2013-11-13,2.776,2013,11,-8
2013-11-27,3.258,2013,11,-8
2013-12-11,2.531,2013,12,-8
2013-12-23,2.416,2013,12,-8
2014-01-10,2.945,2014,1,-7
2014-01-24,2.269,2014,1,-7
2014-02-03,2.88,2014,2,-7
2014-02-23,2.492,2014,2,-7
2014-03-07,2.806,2014,3,-7
2014-03-17,2.65,2014,3,-7
2014-03-27,2.822,2014,3,-7
2014-04-04,3.05,2014,4,-7
2014-04-22,3.219,2014,4,-7
2014-05-16,2.33,2014,5,-7
2014-05-30,3.21,2014,5,-7
2014-06-16,3.04,2014,6,-7
2014-06-29,3.13,2014,6,-7
2014-07-23,2.95,2014,7,-7
2014-08-10,3.12,2014,8,-7
2014-08-27,2.96,2014,8,-7
2014-09-15,3.02,2014,9,-7
2014-09-29,3.31,2014,9,-7
2014-10-06,2.96,2014,10,-7
2014-10-21,3.21,2014,10,-7
2014-11-06,3.13,2014,11,-7
2014-11-21,2.76,2014,11,-7
2014-12-07,2.89,2014,12,-7
2014-12-23,2.7066666666666666,2014,12,-7
2014-12-31,2.6966666666666668,2014,12,-7
2015-01-10,2.6,2015,1,-6
2015-01-17,2.31,2015,1,-6
2015-01-26,2.86,2015,1,-6
2015-02-05,2.725,2015,2,-6
2015-02-17,2.36,2015,2,-6
2015-02-27,2.6566666666666663,2015,2,-6
2015-03-07,2.9450000000000003,2015,3,-6
2015-03-15,3.115,2015,3,-6
2015-03-24,3.143333333333333,2015,3,-6
2015-03-30,2.9800000000000004,2015,3,-6
2015-05-15,3.4,2015,5,-6
2015-05-28,3.22,2015,5,-6
2015-06-15,3.49,2015,6,-6
2015-06-28,3.62,2015,6,-6
2015-07-15,3.64,2015,7,-6
2015-07-28,3.4,2015,7,-6
2015-08-15,3.53,2015,8,-6
2015-08-28,2.67,2015,8,-6
2015-09-22,3.2,2015,9,-6
2015-10-17,2.96,2015,10,-6
2015-10-30,3.18,2015,10,-6
2015-11-28,3.04,2015,11,-6
2015-12-08,2.795,2015,12,-6
2015-12-18,2.83,2015,12,-6
2015-12-24,3.1,2015,12,-6
2016-01-07,2.78,2016,1,-5
2016-01-12,2.78,2016,1,-5
2016-02-01,2.7249999999999996,2016,2,-5
2016-02-18,2.67,2016,2,-5
2016-02-25,3.15,2016,2,-5
2016-03-06,3.05,2016,3,-5
2016-03-17,2.76,2016,3,-5
2016-03-29,3.275,2016,3,-5
2016-04-12,3.285,2016,4,-5
2016-04-22,3.205,2016,4,-5
2016-04-28,3.425,2016,4,-5
2016-05-10,3.34,2016,5,-5
2016-06-14,3.62,2016,6,-5
2016-06-24,3.74,2016,6,-5
2016-07-06,3.81,2016,7,-5
2016-07-15,3.7,2016,7,-5
2016-08-07,3.71,2016,8,-5
2016-08-24,3.61,2016,8,-5
2016-09-08,3.51,2016,9,-5
2016-09-25,3.42,2016,9,-5
2016-10-11,3.32,2016,10,-5
2016-10-25,3.06,2016,10,-5
2016-11-11,2.34,2016,11,-5
2016-11-16,3.37,2016,11,-5
2016-11-27,3.3200000000000003,2016,11,-5
2016-12-02,2.16,2016,12,-5
2016-12-15,3.265,2016,12,-5
2016-12-28,2.895,2016,12,-5
2017-01-04,3.32,2017,1,-4
2017-01-12,3.3,2017,1,-4
2017-01-21,3.09,2017,1,-4
2017-02-06,3.23,2017,2,-4
2017-02-13,3.1,2017,2,-4
2017-03-02,3.0949999999999998,2017,3,-4
2017-03-21,3.285,2017,3,-4
2017-04-07,3.45,2017,4,-4
2017-04-19,3.7199999999999998,2017,4,-4
2017-04-28,3.7,2017,4,-4
2017-05-05,3.86,2017,5,-4
2017-05-23,2.93,2017,5,-4
2017-06-08,3.59,2017,6,-4
2017-06-26,3.6,2017,6,-4
2017-07-08,3.49,2017,7,-4
2017-07-26,3.92,2017,7,-4
2017-08-26,3.73,2017,8,-4
2017-09-08,3.69,2017,9,-4
2017-10-08,3.43,2017,10,-4
2017-10-28,3.24,2017,10,-4
2017-11-08,3.48,2017,11,-4
2017-11-20,3.3499999999999996,2017,11,-4
2017-11-26,3.26,2017,11,-4
2017-12-10,3.2933333333333334,2017,12,-4
2017-12-23,3.045,2017,12,-4
2018-01-05,3.25,2018,1,-3
2018-01-18,3.17,2018,1,-3
2018-02-05,3.4050000000000002,2018,2,-3
2018-02-13,3.0,2018,2,-3
2018-02-23,2.11,2018,2,-3
2018-03-16,2.735,2018,3,-3
2018-03-26,3.175,2018,3,-3
2018-04-03,3.73,2018,4,-3
2018-04-12,3.415,2018,4,-3
2018-04-23,2.815,2018,4,-3
2018-05-04,3.565,2018,5,-3
2018-05-09,3.83,2018,5,-3
2018-05-19,3.77,2018,5,-3
2018-06-15,3.87,2018,6,-3
2018-06-22,3.7,2018,6,-3
2018-07-01,3.67,2018,7,-3
2018-07-19,3.39,2018,7,-3
2018-08-04,3.61,2018,8,-3
2018-08-23,3.63,2018,8,-3
2018-09-05,3.63,2018,9,-3
2018-09-23,4.36,2018,9,-3
2018-10-05,3.56,2018,10,-3
2018-10-19,3.38,2018,10,-3
2018-11-15,3.35,2018,11,-3
2018-11-24,3.4,2018,11,-3
2018-12-03,3.355,2018,12,-3
2018-12-12,3.535,2018,12,-3
2018-12-21,2.7199999999999998,2018,12,-3
2018-12-29,3.295,2018,12,-3
2019-01-07,3.145,2019,1,-2
2019-01-18,3.33,2019,1,-2
2019-01-28,3.32,2019,1,-2
2019-02-15,3.125,2019,2,-2
2019-02-26,3.3600000000000003,2019,2,-2
2019-03-10,3.5700000000000003,2019,3,-2
2019-03-22,3.71,2019,3,-2
2019-04-02,3.9299999999999997,2019,4,-2
2019-04-15,3.7800000000000002,2019,4,-2
2019-04-26,3.915,2019,4,-2
2019-05-05,4.15,2019,5,-2
2019-05-14,3.72,2019,5,-2
2019-05-24,3.24,2019,5,-2
2019-06-06,4.24,2019,6,-2
2019-06-23,3.98,2019,6,-2
2019-07-23,3.71,2019,7,-2
2019-08-06,3.76,2019,8,-2
2019-08-23,3.77,2019,8,-2
2019-09-09,3.67,2019,9,-2
2019-09-21,3.68,2019,9,-2
