步骤,日期,月份,真实TQI,预测,周期类型
1,2024-01-06,1,4.1,4.804853853530156,
2,2024-01-13,1,4.8,5.224754128935629,
3,2024-01-22,1,4.6,4.954449372613242,
4,2024-01-29,1,4.8,4.907126545999062,
5,2024-02-08,2,5.1,4.664318072384148,
6,2024-02-24,2,4.45,4.818798209775251,
7,2024-02-29,2,4.7,4.998997641712169,
8,2024-03-14,3,4.8,4.584256190099828,
9,2024-03-22,3,3.4,4.113728822489992,
10,2024-03-29,3,3.6,4.50147786184198,
11,2024-04-14,4,3.8,3.9887719034740527,
12,2024-04-22,4,3.7,3.6104710903371426,
13,2024-04-29,4,3.8,3.884449555467605,
14,2024-05-14,5,4.0,3.3062122874389397,
15,2024-05-24,5,3.9,3.507124307730831,
16,2024-06-11,6,3.8,3.1048070187928043,
17,2024-06-24,6,2.8,3.311734016085746,
18,2024-07-11,7,2.8,3.494952380952384,大修窗口
19,2024-07-24,7,2.8,3.494952380952384,大修窗口
20,2024-08-11,8,2.8,3.494952380952384,大修窗口
21,2024-08-24,8,2.9,3.494952380952384,大修窗口
22,2024-09-09,9,3.1,3.494952380952384,大修窗口
23,2024-09-23,9,3.0,3.494952380952384,大修窗口
24,2024-10-13,10,3.0,5.88002942853813,
25,2024-10-27,10,3.0,5.88002942853813,
26,2024-11-13,11,3.0,5.88002942853813,
27,2024-11-28,11,3.0,5.88002942853813,
28,2024-12-07,12,3.3,5.88002942853813,
29,2024-12-14,12,4.3,5.88002942853813,
30,2024-12-22,12,3.5,5.88002942853813,
31,2024-12-29,12,4.4,5.88002942853813,
32,2025-01-15,1,4.65,5.88002942853813,
33,2025-01-20,1,4.6,5.88002942853813,
34,2025-02-06,2,4.7,5.88002942853813,
35,2025-02-20,2,4.7,5.88002942853813,
36,2025-02-27,2,4.6,5.88002942853813,
37,2025-03-07,3,5.3,5.88002942853813,
38,2025-03-14,3,4.8,5.88002942853813,
39,2025-03-22,3,4.2,5.88002942853813,
40,2025-03-29,3,3.9,5.88002942853813,
41,2025-04-07,4,3.9,5.88002942853813,
42,2025-04-14,4,3.8,5.88002942853813,
43,2025-04-22,4,4.0,5.88002942853813,
44,2025-04-29,4,4.1,5.88002942853813,
45,2025-05-10,5,4.2,5.88002942853813,
46,2025-05-24,5,3.9,5.88002942853813,
47,2025-06-09,6,3.8,5.88002942853813,
48,2025-06-24,6,4.0,5.88002942853813,
49,2025-07-10,7,3.8,3.494952380952384,大修窗口
50,2025-07-23,7,4.0,3.494952380952384,大修窗口
51,2025-08-08,8,4.0,3.494952380952384,大修窗口
52,2025-08-24,8,3.8,3.494952380952384,大修窗口
53,2025-09-08,9,3.8,3.494952380952384,大修窗口
54,2025-09-24,9,3.9,3.494952380952384,大修窗口
55,2025-10-14,10,3.9,5.88002942853813,
56,2025-10-27,10,3.9,5.88002942853813,
57,2025-11-07,11,3.5,5.88002942853813,
58,2025-11-22,11,3.6,5.88002942853813,
59,2025-12-07,12,4.6,5.88002942853813,
60,2025-12-14,12,3.6,5.88002942853813,
61,2025-12-30,12,3.4,5.88002942853813,
62,2026-01-13,1,4.65,5.88002942853813,
63,2026-01-22,1,4.9,5.88002942853813,
64,2026-01-30,1,5.3,5.88002942853813,
65,2026-02-06,2,5.5,5.88002942853813,
66,2026-03-02,3,4.65,5.88002942853813,
67,2026-03-09,3,4.3,5.88002942853813,
