检测日期,TQI值,年份,月份
2015-12-15,5.35,2015,12
2015-12-28,4.945,2015,12
2016-01-09,5.0,2016,1
2016-01-15,5.48,2016,1
2016-02-17,7.15,2016,2
2016-03-11,7.056666666666666,2016,3
2016-03-26,5.1899999999999995,2016,3
2016-04-01,5.81,2016,4
2016-04-20,3.99,2016,4
2016-05-06,4.18,2016,5
2016-05-24,4.26,2016,5
2016-06-13,4.43,2016,6
2016-06-23,4.39,2016,6
2016-07-05,4.47,2016,7
2016-07-14,4.56,2016,7
2016-08-06,4.63,2016,8
2016-08-23,4.66,2016,8
2016-09-06,4.74,2016,9
2016-09-23,4.68,2016,9
2016-10-09,4.76,2016,10
2016-10-23,4.57,2016,10
2016-11-04,4.69,2016,11
2016-11-13,4.86,2016,11
2016-11-25,6.52,2016,11
2016-12-12,6.125,2016,12
2016-12-18,5.45,2016,12
2016-12-31,5.609999999999999,2016,12
2017-01-16,5.66,2017,1
2017-01-23,4.82,2017,1
2017-02-03,6.575,2017,2
2017-02-15,6.21,2017,2
2017-02-19,6.37,2017,2
2017-03-05,6.255,2017,3
2017-03-18,6.05,2017,3
2017-03-31,4.955,2017,3
2017-04-12,4.825,2017,4
2017-04-23,4.845000000000001,2017,4
2017-04-27,4.89,2017,4
2017-05-21,4.88,2017,5
2017-06-06,2.95,2017,6
2017-06-24,4.96,2017,6
2017-07-06,5.05,2017,7
2017-07-24,5.17,2017,7
2017-08-09,5.26,2017,8
2017-08-24,3.3,2017,8
2017-09-06,3.58,2017,9
2017-09-25,3.72,2017,9
2017-10-06,3.81,2017,10
2017-10-26,3.83,2017,10
2017-11-06,4.05,2017,11
2017-11-25,4.05,2017,11
2017-12-05,4.6,2017,12
2017-12-12,4.21,2017,12
2017-12-20,4.29,2017,12
2017-12-31,4.505,2017,12
2018-01-16,4.84,2018,1
2018-01-28,4.965,2018,1
2018-02-08,5.68,2018,2
2018-02-27,6.29,2018,2
2018-03-18,5.789999999999999,2018,3
2018-03-28,5.665,2018,3
2018-04-25,4.165,2018,4
2018-05-08,3.65,2018,5
2018-05-17,3.55,2018,5
2018-06-11,3.89,2018,6
2018-06-29,3.96,2018,6
2018-07-12,3.88,2018,7
2018-07-24,3.98,2018,7
2018-08-30,3.8,2018,8
2018-09-10,3.85,2018,9
2018-09-28,4.02,2018,9
2018-10-10,4.07,2018,10
2018-10-24,3.9,2018,10
2018-11-09,3.85,2018,11
2018-12-05,4.07,2018,12
2018-12-17,5.205,2018,12
2018-12-27,4.865,2018,12
2019-01-08,6.285,2019,1
2019-01-16,7.0,2019,1
2019-01-24,7.32,2019,1
2019-03-03,7.09,2019,3
2019-03-12,6.73,2019,3
2019-03-21,5.665,2019,3
2019-03-30,5.91,2019,3
2019-04-08,6.19,2019,4
2019-04-18,5.71,2019,4
2019-04-27,3.785,2019,4
2019-05-11,4.01,2019,5
2019-05-20,4.13,2019,5
2019-05-30,4.11,2019,5
2019-06-10,4.06,2019,6
2019-06-27,4.07,2019,6
2019-07-10,3.97,2019,7
2019-07-27,4.07,2019,7
2019-08-10,4.08,2019,8
2019-08-27,4.12,2019,8
2019-09-12,4.09,2019,9
2019-09-25,4.15,2019,9
2019-10-11,4.28,2019,10
2019-10-25,4.18,2019,10
2019-11-10,4.35,2019,11
2019-12-22,3.62,2019,12
2020-01-05,5.16,2020,1
2020-01-17,5.880000000000001,2020,1
2020-01-22,6.07,2020,1
2020-02-06,5.445,2020,2
2020-02-12,6.7,2020,2
2020-02-24,4.2,2020,2
2020-03-08,5.85,2020,3
2020-03-19,5.205,2020,3
2020-04-05,5.44,2020,4
2020-04-13,5.27,2020,4
2020-04-27,5.44,2020,4
2020-05-14,5.45,2020,5
2020-05-27,5.42,2020,5
2020-06-10,5.52,2020,6
2020-06-27,5.62,2020,6
2020-07-10,5.81,2020,7
2020-07-27,5.59,2020,7
2020-08-10,5.68,2020,8
2020-08-30,5.92,2020,8
2020-09-12,5.7,2020,9
2020-09-26,3.52,2020,9
2020-10-10,3.65,2020,10
2020-10-23,3.64,2020,10
2020-11-06,3.73,2020,11
2020-11-14,3.79,2020,11
2020-12-06,5.02,2020,12
2020-12-14,4.62,2020,12
2020-12-21,4.54,2020,12
2020-12-29,4.81,2020,12
2021-01-12,4.75,2021,1
2021-01-15,3.41,2021,1
2021-02-02,4.67,2021,2
2021-02-06,6.25,2021,2
2021-02-21,6.16,2021,2
2021-03-16,5.185,2021,3
2021-03-26,4.71,2021,3
2021-04-05,4.96,2021,4
2021-04-13,5.18,2021,4
2021-05-10,5.13,2021,5
2021-05-27,5.15,2021,5
2021-06-11,5.18,2021,6
2021-06-28,5.23,2021,6
2021-07-11,5.28,2021,7
2021-07-23,5.38,2021,7
2021-08-14,5.4,2021,8
2021-08-26,5.4,2021,8
2021-09-10,3.36,2021,9
2021-09-26,3.36,2021,9
2021-10-08,3.4,2021,10
2021-10-21,3.41,2021,10
2021-11-07,3.43,2021,11
2021-11-22,3.36,2021,11
2021-12-02,3.47,2021,12
2021-12-15,3.56,2021,12
2021-12-19,4.19,2021,12
2022-01-09,5.66,2022,1
2022-01-21,5.95,2022,1
2022-01-25,6.1,2022,1
2022-02-13,6.779999999999999,2022,2
2022-02-24,6.63,2022,2
2022-03-05,6.51,2022,3
2022-03-18,4.904999999999999,2022,3
2022-03-27,4.26,2022,3
2022-06-12,4.88,2022,6
2022-07-27,3.06,2022,7
2022-08-12,3.07,2022,8
2022-08-27,3.12,2022,8
2022-09-12,3.08,2022,9
2022-09-26,3.11,2022,9
2022-10-14,3.11,2022,10
2022-10-26,3.13,2022,10
2022-11-08,3.65,2022,11
2022-11-19,3.35,2022,11
2022-12-10,4.395,2022,12
2022-12-17,4.66,2022,12
2023-01-12,4.85,2023,1
2023-01-19,6.07,2023,1
2023-02-13,7.27,2023,2
2023-02-20,7.34,2023,2
2023-03-07,6.3,2023,3
2023-03-15,4.46,2023,3
2023-03-23,4.09,2023,3
2023-03-30,3.85,2023,3
2023-04-07,3.9,2023,4
2023-04-14,4.02,2023,4
2023-04-27,3.965,2023,4
2023-05-14,4.11,2023,5
2023-05-30,3.17,2023,5
2023-06-13,3.18,2023,6
2023-06-27,3.2,2023,6
2023-07-13,3.13,2023,7
2023-07-27,3.16,2023,7
2023-08-18,3.24,2023,8
2023-08-28,3.17,2023,8
2023-09-11,3.3,2023,9
2023-09-27,3.27,2023,9
2023-10-15,3.3,2023,10
2023-10-29,3.2,2023,10
2023-11-13,3.5,2023,11
2023-11-29,3.6,2023,11
2023-12-08,4.1,2023,12
2023-12-22,4.0,2023,12
2023-12-29,4.7,2023,12
2024-01-06,4.1,2024,1
2024-01-13,4.8,2024,1
2024-01-22,4.6,2024,1
2024-01-29,4.8,2024,1
2024-02-08,5.1,2024,2
2024-02-24,4.45,2024,2
2024-02-29,4.7,2024,2
2024-03-14,4.8,2024,3
2024-03-22,3.4,2024,3
2024-03-29,3.6,2024,3
2024-04-14,3.8,2024,4
2024-04-22,3.7,2024,4
2024-04-29,3.8,2024,4
2024-05-14,4.0,2024,5
