步骤,日期,月份,真实TQI,预测,周期类型
1,01-02,1,2.4,2.1686087979633912,冬季周期
2,01-09,1,2.4,2.0780884278678355,冬季周期
3,01-18,1,2.4,2.164334764473611,冬季周期
4,01-25,1,2.6,2.0563216687245056,冬季周期
5,02-04,2,2.3,2.1720055391617072,冬季周期
6,02-15,2,2.2,2.0949028088005592,冬季周期
7,02-20,2,2.1,2.3133178369261893,冬季周期
8,02-25,2,2.4,2.14810870004261,冬季周期
9,03-03,3,2.2,2.457174025115471,冬季周期
10,03-10,3,2.4,2.2292484844004847,冬季周期
11,03-18,3,2.0,2.239693620602805,冬季周期
12,03-25,3,2.2,2.3239347602831795,冬季周期
13,04-10,4,2.0,2.341216749346316,其他
14,04-18,4,2.0,2.286560674809042,其他
15,04-25,4,2.0,2.41381855836207,其他
16,05-05,5,2.0,2.429254189330475,其他
17,05-10,5,2.2,2.386849839563486,其他
18,05-20,5,2.0,2.2377125024581384,其他
19,06-07,6,2.0,2.005883026691982,其他
20,06-20,6,2.1,1.8865707680775825,其他
21,07-07,7,2.2,2.2551541611601675,稳定期
22,07-20,7,2.2,2.003029562021688,稳定期
23,08-07,8,2.4,2.099753481015469,稳定期
24,08-20,8,2.1,1.6766280616845386,稳定期
25,09-05,9,2.2,2.0635407351524426,稳定期
26,09-19,9,2.2,2.170872908296442,稳定期
27,10-09,10,2.4,2.334029078193454,其他
28,10-23,10,2.2,2.334029078193454,其他
29,11-03,11,2.4,2.373794360640847,其他
30,11-09,11,2.6,2.373794360640847,其他
31,11-17,11,2.0,2.373794360640847,其他
32,11-24,11,2.5,2.373794360640847,其他
33,12-03,12,2.2,2.3370594162565927,冬季周期
34,12-10,12,2.4,2.3370594162565927,冬季周期
35,12-18,12,2.3,2.3370594162565927,冬季周期
36,12-25,12,2.6,2.3370594162565927,冬季周期
37,01-05,1,2.4,2.321235615158905,冬季周期
38,01-11,1,2.4,2.321235615158905,冬季周期
39,01-16,1,2.5,2.321235615158905,冬季周期
40,01-22,1,2.2,2.321235615158905,冬季周期
41,02-02,2,2.2,2.29797539396888,冬季周期
42,02-09,2,2.4,2.29797539396888,冬季周期
43,02-16,2,2.3,2.29797539396888,冬季周期
44,02-23,2,2.2,2.29797539396888,冬季周期
45,03-03,3,2.2,2.202971941927658,冬季周期
46,03-10,3,2.6,2.202971941927658,冬季周期
47,03-18,3,2.1,2.202971941927658,冬季周期
48,04-03,4,2.2,2.0808979686366182,其他
49,04-10,4,2.2,2.0808979686366182,其他
50,04-25,4,2.0,2.0808979686366182,其他
51,05-06,5,2.0,1.9291060687874395,其他
52,06-05,6,2.1,1.8345002607696062,其他
53,06-20,6,1.9,1.8345002607696062,其他
54,07-06,7,1.9,1.865964355709297,稳定期
55,07-19,7,1.9,1.865964355709297,稳定期
56,08-04,8,2.0,1.9791082611085102,稳定期
57,08-20,8,2.0,1.9791082611085102,稳定期
58,09-04,9,2.1,2.170872908296442,稳定期
59,09-20,9,2.0,2.170872908296442,稳定期
60,10-10,10,2.0,2.334029078193454,其他
61,10-23,10,2.2,2.334029078193454,其他
62,11-03,11,2.2,2.373794360640847,其他
63,11-10,11,2.1,2.373794360640847,其他
64,11-18,11,2.0,2.373794360640847,其他
65,11-25,11,2.1,2.373794360640847,其他
66,12-03,12,1.9,2.3370594162565927,冬季周期
67,12-10,12,2.2,2.3370594162565927,冬季周期
68,12-27,12,2.0,2.3370594162565927,冬季周期
69,01-03,1,2.2,2.321235615158905,冬季周期
70,01-09,1,2.1,2.321235615158905,冬季周期
71,01-18,1,2.0,2.321235615158905,冬季周期
72,01-26,1,2.2,2.321235615158905,冬季周期
73,02-02,2,2.3,2.29797539396888,冬季周期
74,02-09,2,2.4,2.29797539396888,冬季周期
75,02-21,2,2.6,2.29797539396888,冬季周期
76,02-26,2,2.0,2.29797539396888,冬季周期
77,03-05,3,2.0,2.202971941927658,冬季周期
78,03-12,3,2.2,2.202971941927658,冬季周期
79,03-19,3,1.9,2.202971941927658,冬季周期
