步骤,日期,月份,真实TQI,分层预测,TimeMixer,优先级
1,01-02,1,2.4,2.5023555361749032,2.4,高
2,01-09,1,2.4,2.6051494661379477,2.4099999999999997,高
3,01-18,1,2.4,2.481754704074746,2.42,高
4,01-25,1,2.6,2.541452295759163,2.4299999999999997,高
5,02-04,2,2.3,2.1128556296011176,2.44,低
6,02-15,2,2.2,2.004061422441896,2.4499999999999997,低
7,02-20,2,2.1,2.077273968542051,2.46,低
8,02-25,2,2.4,2.1939484746323656,2.4699999999999998,低
9,03-03,3,2.2,2.220496255418179,2.48,低
10,03-10,3,2.4,2.2279195382693335,2.4899999999999998,低
11,03-18,3,2.0,2.157766829942783,2.5,低
12,03-25,3,2.2,2.2291589720175446,2.51,低
13,04-10,4,2.0,2.1759094514049386,2.52,低
14,04-18,4,2.0,2.326925920628039,2.53,低
15,04-25,4,2.0,2.393492797892428,2.54,低
16,05-05,5,2.0,2.2939722910302507,2.55,低
17,05-10,5,2.2,2.525785161735117,2.56,低
18,05-20,5,2.0,2.459607343310124,2.57,低
19,06-07,6,2.0,2.3808703348961298,2.58,低
20,06-20,6,2.1,2.3099764900580033,2.59,低
21,07-07,7,2.2,2.257952493734316,2.6,中
22,07-20,7,2.2,2.2809962892961018,2.61,中
23,08-07,8,2.4,2.3282935496290893,2.62,中
24,08-20,8,2.1,2.2957241237009898,2.63,中
25,09-05,9,2.2,2.281745242262069,2.6399999999999997,中
26,09-19,9,2.2,2.2048109990787452,2.65,中
