步骤,日期,月份,真实TQI,预测,优先级
1,01-02,1,2.4,2.0236670818475706,P1
2,01-09,1,2.4,1.9156986130131264,P1
3,01-18,1,2.4,1.9765321149188426,P1
4,01-25,1,2.6,2.100073681224056,P1
5,02-04,2,2.3,2.160631345093395,P2
6,02-15,2,2.2,2.2511142142364564,P2
7,02-20,2,2.1,2.083410351533717,P2
8,02-25,2,2.4,2.151534058572455,P2
9,03-03,3,2.2,2.2258178484192435,P2
10,03-10,3,2.4,2.2870184985395614,P2
11,03-18,3,2.0,2.2926108799065887,P2
12,03-25,3,2.2,2.186398850268787,P2
13,04-10,4,2.0,2.365483383518314,P2
14,04-18,4,2.0,2.4626189465154233,P2
15,04-25,4,2.0,2.6249139756268947,P2
16,05-05,5,2.0,2.3789554692155512,P2
17,05-10,5,2.2,2.345520089451838,P2
18,05-20,5,2.0,2.2874037424380598,P2
19,06-07,6,2.0,2.2568604991381873,P2
20,06-20,6,2.1,1.9534660350268103,P2
21,07-07,7,2.2,1.8593600821800254,P0
22,07-20,7,2.2,1.7130763891435608,P0
23,08-07,8,2.4,1.8623785312165864,P0
24,08-20,8,2.1,1.8432490200438516,P0
25,09-05,9,2.2,1.8435632771858002,P0
26,09-19,9,2.2,1.9749990165169091,P0
