步骤,日期,真实TQI,原模型预测,分段模型预测
1,2024-01-02,2.4,2.4600012988383635,2.60092093714287
2,2024-01-09,2.4,2.5328886907921273,2.6413978360629744
3,2024-01-18,2.4,2.3843825407661146,2.5271605564940813
4,2024-01-25,2.6,2.357736715003165,2.7985030293600284
5,2024-02-04,2.3,2.3362279198729707,2.4317610270902157
6,2024-02-15,2.2,2.2829668029855053,2.6926888282884773
7,2024-02-20,2.1,2.4514696781711303,2.713963693975991
8,2024-02-25,2.4,2.326957963084144,2.782528357196497
9,2024-03-03,2.2,2.3543223146602577,2.5109220011056435
10,2024-03-10,2.4,2.3488945632064415,2.8219350086263155
11,2024-03-18,2.0,2.362280988352457,2.685223534498718
12,2024-03-25,2.2,2.3895653110308785,2.7193763632669214
13,2024-04-10,2.0,2.40000265940784,2.8405809602695595
14,2024-04-18,2.0,2.486281468208461,2.660499072715619
15,2024-04-25,2.0,2.444893267074492,2.820523295422826
16,2024-05-05,2.0,2.4574684601667713,2.4625511069136032
17,2024-05-10,2.2,2.4713164605017215,2.6547007220105874
18,2024-05-20,2.0,2.5159588510643265,2.620622922333536
19,2024-06-07,2.0,2.61618944405015,2.8895407737845202
20,2024-06-20,2.1,2.5385564531952562,2.5285680625355806
21,2024-07-07,2.2,2.5152744804243037,2.3780046911200303
22,2024-07-20,2.2,2.6253183773954545,2.5073934247728467
23,2024-08-07,2.4,2.679721776058691,2.6213369599110687
24,2024-08-20,2.1,2.512038366647622,2.6428493826110966
25,2024-09-05,2.2,2.660151059612705,2.8017730642032967
26,2024-09-19,2.2,2.630783011367047,2.2549005477102773
