步骤,日期,真实TQI,原模型预测,分段模型预测,维修感知模型
1,2024-01-02,2.4,2.4600012988383635,2.60092093714287,2.4736985442456985
2,2024-01-09,2.4,2.5328886907921278,2.6413978360629744,2.480630547160688
3,2024-01-18,2.4,2.3843825407661146,2.5271605564940813,2.4389181369483044
4,2024-01-25,2.6,2.357736715003165,2.7985030293600284,2.298964392634834
5,2024-02-04,2.3,2.3362279198729707,2.431761027090216,2.331526410093139
6,2024-02-15,2.2,2.2829668029855053,2.6926888282884773,2.3107592505247876
7,2024-02-20,2.1,2.4514696781711303,2.713963693975991,2.390171246709697
8,2024-02-25,2.4,2.326957963084144,2.782528357196497,2.414167605172663
9,2024-03-03,2.2,2.3543223146602577,2.5109220011056435,2.3389923587516286
10,2024-03-10,2.4,2.348894563206441,2.8219350086263155,2.373570703225126
11,2024-03-18,2.0,2.362280988352457,2.685223534498718,2.4731371095820474
12,2024-03-25,2.2,2.3895653110308785,2.719376363266921,2.405310689223392
13,2024-04-10,2.0,2.40000265940784,2.8405809602695595,2.4673811873954357
14,2024-04-18,2.0,2.486281468208461,2.660499072715619,2.4871860487051887
15,2024-04-25,2.0,2.444893267074492,2.820523295422826,2.4809869688131965
16,2024-05-05,2.0,2.457468460166772,2.4625511069136032,2.5022622168493722
17,2024-05-10,2.2,2.471316460501721,2.654700722010588,2.5275992518426893
18,2024-05-20,2.0,2.5159588510643265,2.620622922333536,2.550468063280044
19,2024-06-07,2.0,2.61618944405015,2.88954077378452,2.654547569675228
20,2024-06-20,2.1,2.538556453195256,2.5285680625355806,2.5209998314558844
21,2024-07-07,2.2,2.515274480424304,2.3780046911200303,2.5476448868701427
22,2024-07-20,2.2,2.6253183773954545,2.5073934247728467,2.622626353497874
23,2024-08-07,2.4,2.679721776058691,2.6213369599110687,2.5372509065273
24,2024-08-20,2.1,2.512038366647622,2.6428493826110966,2.4717666990789073
25,2024-09-05,2.2,2.660151059612705,2.8017730642032967,2.6682849374062823
26,2024-09-19,2.2,2.630783011367047,2.2549005477102773,2.566313261363602
