步骤,真实TQI,Model_A,Model_B,Fusion_Weighted,Fusion_RuleBased,Fusion_Stepwise
1,2.4,2.4600012988383635,2.0971976377409263,2.2502536473674617,2.242319102179901,2.206038736070157
2,2.4,2.5328886907921273,2.1304038305770647,2.3002001508602468,2.2913977746630896,2.2511492886415834
3,2.4,2.3843825407661146,2.035385019308766,2.1826166316972286,2.174984027891705,2.1400842757459704
4,2.6,2.357736715003165,2.056279896387826,2.1834555086526164,2.1768626238339617,2.1467169419724277
5,2.3,2.3362279198729707,2.1406423666077785,2.2231540596618595,2.2188765879138552,2.1993180325873363
6,2.2,2.2829668029855053,2.021557050155817,2.131838003563356,2.1261209512876924,2.0999799760047235
7,2.1,2.4514696781711303,2.1857154633444074,2.297829215283331,2.2920171492750967,2.265441727792424
8,2.4,2.326957963084144,2.203871154189593,2.255797796137135,2.253105877747413,2.240797196857958
9,2.2,2.3543223146602577,2.230369274564588,2.282661353538471,2.2799504906028556,2.267555186593289
10,2.4,2.3488945632064415,2.15909321552929,2.239164725307692,2.291954158903296,2.2160336198324355
11,2.0,2.362280988352457,2.096525760893447,2.2086399400316346,2.282554420114754,2.282554420114754
12,2.2,2.3895653110308785,2.1613387170272604,2.2576206885574974,2.321097332829793,2.229806695228346
13,2.0,2.40000265940784,2.1382701967385556,2.2486872917720264,2.3214829206070546,2.3214829206070546
14,2.0,2.486281468208461,2.2748815026079914,2.3640648230632526,2.42286147852832,2.42286147852832
15,2.0,2.444893267074492,2.381638888647676,2.4083240183515215,2.425916953546447,2.4006152021757208
16,2.0,2.4574684601667713,2.2104091547008915,2.3146360837272644,2.383350668527007,2.2845269463406552
17,2.2,2.4713164605017215,2.490449207619545,2.4823776740573154,2.4770562846370687,2.484709383484198
18,2.0,2.5159588510643265,2.472649107847241,2.490920192694361,2.5029659280992007,2.4856420308123663
19,2.0,2.61618944405015,2.382829238924078,2.481276927390579,2.5461813825123283,2.4528373004618995
20,2.1,2.5385564531952562,2.331807770766446,2.4190288540167577,2.476531848466613,2.393832375495089
21,2.2,2.5152744804243037,2.353673572522047,2.4218481605091897,2.4667942080536265,2.4021538448927235
22,2.2,2.6253183773954545,2.3327349127629065,2.4561671224707835,2.53754333800569,2.4205099521526705
23,2.4,2.679721776058691,2.3831481012291365,2.5082636612330873,2.5907496736098246,2.472120203678003
24,2.1,2.512038366647622,2.31030679549961,2.395411309611208,2.4515188953032183,2.3708262668440137
25,2.2,2.660151059612705,2.3167549930814633,2.461623519230665,2.557132239653332,2.4197738130408357
26,2.2,2.630783011367047,2.1674040855636667,2.3628897901840737,2.4917693336260327,2.3064177633046805
