步骤,真实TQI,Model_A,Model_B,Model_C,Fusion
1,2.4,2.4600012988383635,2.5139143168301787,520.5008333336434,98.95391836111341
2,2.4,2.5328886907921273,2.571152335732291,520.4909294874896,98.97630361646094
3,2.4,2.3843825407661146,2.5322761594234557,520.4810256413357,98.93956893114354
4,2.6,2.357736715003165,2.4943019082532922,520.4711217951818,98.92569257666474
5,2.3,2.3362279198729707,2.502753083790417,520.461217949028,98.92141715174266
6,2.2,2.2829668029855053,2.452400452841002,520.4513141028741,98.90028017574161
7,2.1,2.4514696781711303,2.4967466684756263,520.4414102567202,98.93806858029848
8,2.4,2.326957963084144,2.5283319480788875,520.4315064105665,98.91892158185756
9,2.2,2.3543223146602577,2.5378767590458393,520.4216025644125,98.92394997176922
10,2.4,2.3488945632064415,2.527131750333675,520.4116987182588,98.9190945076725
11,2.0,2.362280988352457,2.5081506221010472,520.4017948721049,98.91620867780392
12,2.2,2.3895653110308785,2.5641972507243094,520.391891025951,98.92988080478244
13,2.0,2.40000265940784,2.522247938553561,520.3819871797972,98.92216918097019
14,2.0,2.486281468208461,2.5641407527627096,520.3720833336433,98.94419064102078
15,2.0,2.444893267074492,2.598487093051848,520.3621794874895,98.94103535037762
16,2.0,2.4574684601667713,2.5670937135619516,520.3522756413356,98.93568730791651
17,2.2,2.4713164605017215,2.732847255146894,520.3423717951817,98.96728501886817
18,2.0,2.5159588510643265,2.6760054708037826,520.3324679490279,98.96316939559237
19,2.0,2.61618944405015,2.713665222437786,520.3225641028741,98.98700048160677
20,2.1,2.5385564531952562,2.6963297073670174,520.3126602567202,98.96747324964954
21,2.2,2.5152744804243037,2.659474500284953,520.3027564105664,98.95443161060707
22,2.2,2.6253183773954545,2.733450173082772,520.2928525644124,98.98685195834419
23,2.4,2.679721776058691,2.7344433260042944,520.2829487182587,98.99532270009544
24,2.1,2.512038366647622,2.69622567235295,520.2730448721048,98.95513982599937
25,2.2,2.660151059612705,2.7365854185153102,520.263141025951,98.98838929801106
26,2.2,2.630783011367047,2.620672587414204,520.2532371797971,98.95949390212286
