步骤,日期,月份,真实TQI,预测,优先级
1,01-02,1,2.4,2.3581557757995792,P1
2,01-09,1,2.4,2.1038314267180143,P1
3,01-18,1,2.4,2.170543669321554,P1
4,01-25,1,2.6,1.9679202372696505,P1
5,02-04,2,2.3,2.2466931579558342,P2
6,02-20,2,2.1500000000000004,2.301271224576518,P2
7,02-25,2,2.4,2.3506265731870166,P2
8,03-10,3,2.4,2.2445745847321668,P2
9,03-18,3,2.0,2.4376714420053016,P2
10,03-25,3,2.2,2.470612945067801,P2
11,04-10,4,2.0,2.5024334784366755,P2
12,04-18,4,2.0,2.3483271679143813,P2
13,04-25,4,2.0,2.333374843454732,P2
14,05-10,5,2.1,2.232470874559971,P2
15,05-20,5,2.0,2.100567143976943,P2
16,06-07,6,2.0,1.955988591308404,P2
17,06-20,6,2.1,1.8929809556738288,P2
18,07-07,7,2.2,2.153333333333194,P0
19,07-20,7,2.2,2.153333333333194,P0
20,08-07,8,2.4,2.153333333333194,P0
21,08-20,8,2.1,2.153333333333194,P0
22,09-05,9,2.2,2.153333333333194,P0
23,09-19,9,2.2,2.153333333333194,P0
24,10-09,10,2.4,1.9647865503475246,P2
25,10-23,10,2.2,1.9647865503475246,P2
26,11-09,11,2.5,1.9647865503475246,P2
27,11-17,11,2.0,1.9647865503475246,P2
28,11-24,11,2.5,1.9647865503475246,P2
29,12-03,12,2.2,1.9647865503475246,P2
30,12-10,12,2.4,1.9647865503475246,P2
31,12-18,12,2.3,1.9647865503475246,P2
32,12-25,12,2.6,1.9647865503475246,P2
33,01-11,1,2.4,1.9647865503475246,P2
34,01-22,1,2.35,1.9647865503475246,P2
35,02-02,2,2.2,1.9647865503475246,P2
36,02-09,2,2.4,1.9647865503475246,P2
37,02-23,2,2.2,1.9647865503475246,P2
38,03-03,3,2.2,1.9647865503475246,P2
39,03-10,3,2.6,1.9647865503475246,P2
40,03-18,3,2.1,1.9647865503475246,P2
41,04-03,4,2.2,1.9647865503475246,P2
42,04-10,4,2.2,1.9647865503475246,P2
43,04-25,4,2.0,1.9647865503475246,P2
44,05-06,5,2.0,1.9647865503475246,P2
45,06-05,6,2.1,1.9647865503475246,P2
46,06-20,6,1.9,1.9647865503475246,P2
47,07-06,7,1.9,2.153333333333194,P0
48,07-19,7,1.9,2.153333333333194,P0
49,08-04,8,2.0,2.153333333333194,P0
50,08-20,8,2.0,2.153333333333194,P0
51,09-04,9,2.1,2.153333333333194,P0
52,09-20,9,2.0,2.153333333333194,P0
53,10-10,10,2.0,1.9647865503475246,P2
54,10-23,10,2.2,1.9647865503475246,P2
55,11-03,11,2.2,1.9647865503475246,P2
56,11-10,11,2.1,1.9647865503475246,P2
57,11-18,11,2.0,1.9647865503475246,P2
58,11-25,11,2.1,1.9647865503475246,P2
59,12-03,12,1.9,1.9647865503475246,P2
60,12-10,12,2.2,1.9647865503475246,P2
61,12-27,12,2.0,1.9647865503475246,P2
62,01-09,1,2.1500000000000004,1.9647865503475246,P2
63,01-18,1,2.0,1.9647865503475246,P2
64,01-26,1,2.2,1.9647865503475246,P2
65,02-02,2,2.3,1.9647865503475246,P2
66,02-26,2,2.3,1.9647865503475246,P2
67,03-05,3,2.0,1.9647865503475246,P2
68,03-19,3,1.9,1.9647865503475246,P2
