tqi_mile,record_count,tqi_mean,tqi_std,tqi_min,tqi_max,date_min,date_max,time_span_days
4400,182,4.456703296703298,1.1086456372754303,2.05,14.74,2021-01-22,2026-03-16,1879
5400,183,4.019890710382514,0.3793690381555024,2.1,5.51,2021-01-22,2026-03-16,1879
6400,183,3.896666666666667,0.6473286894881396,2.4,5.66,2021-01-22,2026-03-16,1879
7400,183,4.404535519125682,0.7329098092989509,1.78,5.99,2021-01-22,2026-03-16,1879
8400,183,1.9787978142076499,0.24927075529581386,1.2,3.19,2021-01-22,2026-03-16,1879
9400,183,1.3696721311475413,0.17105972750155363,0.8,2.47,2021-01-22,2026-03-16,1879
10400,183,1.416994535519126,0.22607553676066708,0.8,4.05,2021-01-22,2026-03-16,1879
11400,183,1.3991256830601093,0.17565669735528766,0.8,2.98,2021-01-22,2026-03-16,1879
12400,183,2.2068306010928964,0.41144052584933233,1.6,5.93,2021-01-22,2026-03-16,1879
13400,183,1.4622950819672131,0.10381820717251491,0.8,2.1,2021-01-22,2026-03-16,1879
14400,183,1.6360109289617488,0.2523862814115234,0.8,2.94,2021-01-22,2026-03-16,1879
15400,183,1.5167759562841532,0.10295624308487529,0.8,1.97,2021-01-22,2026-03-16,1879
16400,183,2.0950819672131145,0.315361067880248,1.4,3.5,2021-01-22,2026-03-16,1879
17400,183,3.2499999999999996,0.3854966826156774,2.41,4.1,2021-01-22,2026-03-16,1879
18400,183,2.969726775956285,0.4576089694209386,2.02,4.1,2021-01-22,2026-03-16,1879
19400,183,2.7538797814207654,0.26463270581046355,2.13,3.6,2021-01-22,2026-03-16,1879
20400,183,3.1988524590163934,0.4894662882597954,2.19,4.3,2021-01-22,2026-03-16,1879
21400,183,3.2784153005464485,0.573730037777458,2.18,6.01,2021-01-22,2026-03-16,1879
22400,183,3.097049180327869,0.393147391183484,2.4,4.27,2021-01-22,2026-03-16,1879
23400,183,3.577158469945356,0.552161200405109,2.19,7.4,2021-01-22,2026-03-16,1879
24400,183,3.2536612021857927,0.5456030386591988,2.13,5.79,2021-01-22,2026-03-16,1879
25400,183,3.8445901639344253,0.4871296522944158,1.81,5.0,2021-01-22,2026-03-16,1879
26400,183,1.8126775956284151,0.34354477272826095,1.2,4.67,2021-01-22,2026-03-16,1879
27400,183,2.7806010928961746,0.3137948678988841,1.7,3.6,2021-01-22,2026-03-16,1879
30400,183,3.386448087431694,0.3749504821286669,1.8,4.3,2021-01-22,2026-03-16,1879
31400,183,3.078579234972677,0.45475044841723383,1.7,4.59,2021-01-22,2026-03-16,1879
32400,183,3.3816393442622945,0.4773778435123385,2.19,5.5,2021-01-22,2026-03-16,1879
33400,183,3.731803278688525,0.5099025166369623,2.5,7.09,2021-01-22,2026-03-16,1879
34400,183,3.519945355191257,0.4909583555533482,2.1,5.8,2021-01-22,2026-03-16,1879
35400,183,3.144043715846994,0.4227786658243608,1.8,4.3,2021-01-22,2026-03-16,1879
36400,183,3.1010382513661203,0.544965482989219,1.9,5.1,2021-01-22,2026-03-16,1879
37400,183,3.332295081967213,0.6349259542602291,1.9,8.9,2021-01-22,2026-03-16,1879
38400,183,2.758633879781421,0.3460765848509797,1.4,5.1,2021-01-22,2026-03-16,1879
39400,183,3.2008743169398906,0.5331652327709088,1.97,5.33,2021-01-22,2026-03-16,1879
40400,183,3.3991803278688524,0.6514344992887836,1.85,5.13,2021-01-22,2026-03-16,1879
41400,183,2.8869398907103823,0.4988992627665419,1.8,4.69,2021-01-22,2026-03-16,1879
42400,183,2.4255191256830604,0.48963501591289665,1.2,3.81,2021-01-22,2026-03-16,1879
43400,183,2.8729508196721305,0.38348751399775927,1.5,4.2,2021-01-22,2026-03-16,1879
44400,183,2.0976502732240436,0.22467913161660316,1.2,2.7,2021-01-22,2026-03-16,1879
45400,183,2.293497267759563,0.3527798690139573,1.4,3.2,2021-01-22,2026-03-16,1879
46400,181,2.2237016574585637,0.35549042719962365,1.0,3.18,2021-01-22,2026-03-16,1879
47400,183,2.162950819672131,0.4827713412141157,1.3,3.4,2021-01-22,2026-03-16,1879
48400,183,2.8727322404371582,0.44924132553698526,1.3,6.4,2021-01-22,2026-03-16,1879
49400,183,2.506939890710382,1.7297190369873572,1.37,25.2,2021-01-22,2026-03-16,1879
50400,183,2.3314754098360653,0.8546283223992441,1.4,7.5,2021-01-22,2026-03-16,1879
51400,183,2.191092896174863,0.5179449110507065,1.36,4.89,2021-01-22,2026-03-16,1879
53400,183,1.9801639344262296,0.30590790004102897,1.2,2.9,2021-01-22,2026-03-16,1879
54400,182,1.9945054945054945,0.45822926958625765,1.1,6.6,2021-01-22,2026-03-16,1879
55400,183,2.0989071038251366,0.3952046445869589,1.2,3.3,2021-01-22,2026-03-16,1879
56400,183,1.7737158469945358,0.2826277132694749,1.0,2.5,2021-01-22,2026-03-16,1879
57400,183,1.9524590163934428,0.37579800397904134,1.2,2.8,2021-01-22,2026-03-16,1879
58400,183,1.7553551912568306,0.32243367077133644,1.0,2.8,2021-01-22,2026-03-16,1879
59400,183,2.036448087431694,0.22098420281701955,1.2,2.6,2021-01-22,2026-03-16,1879
60400,183,1.6050273224043716,0.19767015015012637,0.9,2.2,2021-01-22,2026-03-16,1879
61400,183,1.8952459016393446,1.3444079622162592,1.0,19.6,2021-01-22,2026-03-16,1879
62400,183,1.715464480874317,0.7711420655559658,1.0,11.7,2021-01-22,2026-03-16,1879
63400,183,1.8030054644808742,0.2361905427773261,1.0,2.5,2021-01-22,2026-03-16,1879
64400,183,1.8912021857923496,1.17946517848046,0.8,17.5,2021-01-22,2026-03-16,1879
65400,183,1.8959562841530058,0.4600024345986291,1.2,6.58,2021-01-22,2026-03-16,1879
66400,183,2.1175409836065575,0.9523602647425844,1.2,9.06,2021-01-22,2026-03-16,1879
