mile,record_count,tqi_mean,tqi_std,tqi_min,tqi_max,date_min,date_max,unique_months,time_span_days,expected_months,monthly_coverage
707400.0,431,5.77599071925754,0.8805440917910279,2.84,8.831,2012-12-12,2026-03-19,154,4845,162,0.9506172839506173
708400.0,444,4.121234234234234,0.8022999946114842,2.0,6.631,2012-12-12,2026-03-19,157,4845,162,0.9691358024691358
709400.0,447,4.03810514541387,0.8125918037934556,1.7,7.845,2012-12-12,2026-03-19,157,4845,162,0.9691358024691358
711400.0,444,3.125081081081081,0.4625520215538182,1.89,4.27,2012-12-12,2026-03-19,157,4845,162,0.9691358024691358
712400.0,447,3.3061789709172262,0.39577928374309085,1.78,4.2,2012-12-12,2026-03-19,157,4845,162,0.9691358024691358
713400.0,447,3.37482774049217,0.45579260717282777,1.86,4.737,2012-12-12,2026-03-19,157,4845,162,0.9691358024691358
714400.0,446,3.2918273542600898,0.7882197373804657,1.1,5.37,2012-12-12,2026-03-19,157,4845,162,0.9691358024691358
715400.0,446,2.972939461883408,0.4909740178609667,1.2,4.807,2012-12-12,2026-03-19,157,4845,162,0.9691358024691358
716400.0,448,3.1507098214285714,0.6788955833905328,1.1,4.43,2012-12-12,2026-03-19,157,4845,162,0.9691358024691358
717400.0,448,3.1728325892857145,0.567623272923729,1.4,4.31,2012-12-12,2026-03-19,157,4845,162,0.9691358024691358
718400.0,448,3.2807767857142855,0.7249809681657999,1.1,4.7,2012-12-12,2026-03-19,157,4845,162,0.9691358024691358
719400.0,448,2.7669598214285713,0.4994671999648065,1.1,4.19,2012-12-12,2026-03-19,157,4845,162,0.9691358024691358
721400.0,443,3.451641083521445,0.8875521652278426,1.5,5.24,2012-12-12,2026-03-19,157,4845,162,0.9691358024691358
722400.0,448,3.7817276785714284,0.7464281399979026,1.5,5.964,2012-12-12,2026-03-19,157,4845,162,0.9691358024691358
723400.0,444,2.831018018018018,0.5406275841799033,1.6,3.85,2012-12-12,2026-03-19,157,4845,162,0.9691358024691358
724400.0,445,2.6936067415730336,0.5153624592157084,1.3,3.75,2012-12-12,2026-03-19,157,4845,162,0.9691358024691358
725400.0,447,2.7398747203579417,0.5476484359348872,0.8,4.27,2012-12-12,2026-03-19,157,4845,162,0.9691358024691358
726400.0,447,3.3678322147651008,0.4336367081497477,1.7,4.4,2012-12-12,2026-03-19,157,4845,162,0.9691358024691358
