日期,TQI值,检测日期,年份,月份,距2021年,是否异常,年月,TQI左高低,TQI右高低,TQI左轨向,TQI右轨向,TQI轨距,TQI三角坑,TQI水平,plane,elevation
2012-12-12,2.225,2012-12-12,2012,12,-9,False,2012-12,0.385,0.341,0.314,0.322,0.231,0.338,0.292,0.867,1.356
2012-12-20,2.183,2012-12-20,2012,12,-9,False,2012-12,0.39,0.32,0.305,0.314,0.227,0.338,0.29,0.846,1.338
2012-12-28,2.288,2012-12-28,2012,12,-9,False,2012-12,0.392,0.341,0.334,0.334,0.241,0.343,0.304,0.909,1.3800000000000001
2013-01-10,2.274,2013-01-10,2013,1,-8,False,2013-01,0.406,0.315,0.347,0.35,0.212,0.341,0.304,0.9089999999999999,1.366
2013-01-18,2.34,2013-01-18,2013,1,-8,False,2013-01,0.42,0.363,0.346,0.353,0.212,0.341,0.306,0.9109999999999999,1.43
2013-01-30,2.334,2013-01-30,2013,1,-8,False,2013-01,0.406,0.32,0.355,0.364,0.227,0.355,0.308,0.946,1.389
2013-03-01,2.011,2013-03-01,2013,3,-8,False,2013-03,0.309,0.371,0.344,0.342,0.0,0.331,0.313,0.6859999999999999,1.3239999999999998
2013-03-20,2.744,2013-03-20,2013,3,-8,False,2013-03,0.523,0.522,0.319,0.354,0.242,0.371,0.413,0.915,1.829
2013-03-29,2.532,2013-03-29,2013,3,-8,False,2013-03,0.517,0.456,0.345,0.346,0.243,0.334,0.291,0.9339999999999999,1.598
2013-04-06,2.527,2013-04-06,2013,4,-8,False,2013-04,0.525,0.449,0.341,0.341,0.247,0.32,0.304,0.929,1.598
2013-04-19,3.056,2013-04-19,2013,4,-8,False,2013-04,0.581,0.527,0.432,0.47,0.245,0.434,0.369,1.1469999999999998,1.911
2013-04-25,2.961,2013-04-25,2013,4,-8,False,2013-04,0.554,0.515,0.437,0.463,0.258,0.399,0.335,1.158,1.803
2013-05-04,2.743,2013-05-04,2013,5,-8,False,2013-05,0.562,0.462,0.365,0.375,0.251,0.406,0.323,0.991,1.7530000000000001
2013-05-15,2.729,2013-05-15,2013,5,-8,False,2013-05,0.563,0.508,0.36,0.377,0.245,0.374,0.302,0.982,1.7469999999999999
2013-05-31,2.681,2013-05-31,2013,5,-8,False,2013-05,0.529,0.427,0.312,0.334,0.251,0.449,0.379,0.897,1.784
2013-06-11,2.954,2013-06-11,2013,6,-8,False,2013-06,0.655,0.565,0.354,0.375,0.227,0.429,0.348,0.956,1.997
2013-06-20,2.954,2013-06-20,2013,6,-8,False,2013-06,0.655,0.565,0.354,0.375,0.227,0.429,0.348,0.956,1.997
2013-07-04,2.614,2013-07-04,2013,7,-8,False,2013-07,0.435,0.491,0.336,0.363,0.266,0.397,0.326,0.9650000000000001,1.649
2013-07-12,2.8,2013-07-12,2013,7,-8,False,2013-07,0.476,0.508,0.367,0.404,0.254,0.443,0.348,1.025,1.775
2013-07-22,2.868,2013-07-22,2013,7,-8,False,2013-07,0.552,0.581,0.345,0.365,0.271,0.425,0.328,0.981,1.8860000000000001
2013-08-16,3.029,2013-08-16,2013,8,-8,False,2013-08,0.62,0.533,0.414,0.38,0.247,0.486,0.35,1.041,1.989
2013-08-19,2.731,2013-08-19,2013,8,-8,False,2013-08,0.584,0.49,0.345,0.353,0.241,0.393,0.325,0.939,1.7919999999999998
2013-09-28,2.846,2013-09-28,2013,9,-8,False,2013-09,0.542,0.488,0.385,0.374,0.243,0.474,0.34,1.002,1.844
2013-10-29,3.06,2013-10-29,2013,10,-8,False,2013-10,0.701,0.658,0.4,0.38,0.238,0.401,0.282,1.018,2.042
2013-11-13,2.776,2013-11-13,2013,11,-8,False,2013-11,0.588,0.573,0.361,0.342,0.228,0.379,0.305,0.931,1.845
2013-11-27,3.258,2013-11-27,2013,11,-8,False,2013-11,0.76,0.711,0.379,0.364,0.234,0.451,0.359,0.977,2.281
2013-12-11,2.531,2013-12-11,2013,12,-8,False,2013-12,0.48,0.544,0.302,0.328,0.27,0.326,0.281,0.9,1.6310000000000002
2013-12-23,2.416,2013-12-23,2013,12,-8,False,2013-12,0.427,0.47,0.293,0.298,0.268,0.353,0.307,0.859,1.557
2014-01-10,2.945,2014-01-10,2014,1,-7,False,2014-01,0.532,0.79,0.306,0.305,0.257,0.412,0.344,0.868,2.078
2014-01-24,2.269,2014-01-24,2014,1,-7,False,2014-01,0.369,0.418,0.298,0.303,0.265,0.339,0.276,0.866,1.402
2014-02-03,2.88,2014-02-03,2014,2,-7,False,2014-02,0.679,0.574,0.284,0.293,0.261,0.405,0.384,0.838,2.042
2014-02-17,2.499,2014-02-17,2014,2,-7,False,2014-02,0.459,0.512,0.304,0.312,0.266,0.356,0.289,0.882,1.616
2014-02-23,2.485,2014-02-23,2014,2,-7,False,2014-02,0.43,0.501,0.326,0.331,0.267,0.347,0.283,0.924,1.561
2014-03-07,2.806,2014-03-07,2014,3,-7,False,2014-03,0.591,0.639,0.303,0.315,0.27,0.379,0.309,0.888,1.918
2014-03-17,2.65,2014-03-17,2014,3,-7,False,2014-03,0.502,0.57,0.307,0.332,0.273,0.365,0.302,0.912,1.739
2014-03-27,2.822,2014-03-27,2014,3,-7,False,2014-03,0.572,0.601,0.32,0.341,0.27,0.397,0.32,0.931,1.8900000000000001
2014-04-04,3.05,2014-04-04,2014,4,-7,False,2014-04,0.71,0.73,0.3,0.33,0.28,0.39,0.31,0.91,2.14
2014-04-22,3.219,2014-04-22,2014,4,-7,False,2014-04,0.612,0.732,0.343,0.369,0.29,0.474,0.398,1.002,2.216
2014-05-16,2.33,2014-05-16,2014,5,-7,False,2014-05,0.64,0.66,0.0,0.0,0.26,0.43,0.34,0.26,2.0700000000000003
2014-05-30,3.21,2014-05-30,2014,5,-7,False,2014-05,0.61,0.71,0.37,0.42,0.29,0.47,0.34,1.08,2.13
2014-06-16,3.04,2014-06-16,2014,6,-7,False,2014-06,0.68,0.46,0.4,0.34,0.33,0.43,0.4,1.07,1.97
