日期,TQI值,检测日期,年份,月份,距2021年,是否异常,样本权重,年月
2012-12-12,2.225,2012-12-12,2012,12,-9,False,1.0,2012-12
2012-12-20,2.183,2012-12-20,2012,12,-9,False,1.0,2012-12
2012-12-28,2.288,2012-12-28,2012,12,-9,False,1.0,2012-12
2013-01-10,2.274,2013-01-10,2013,1,-8,False,1.0,2013-01
2013-01-18,2.34,2013-01-18,2013,1,-8,False,1.0,2013-01
2013-01-30,2.334,2013-01-30,2013,1,-8,False,1.0,2013-01
2013-03-01,2.011,2013-03-01,2013,3,-8,False,1.0,2013-03
2013-03-20,2.744,2013-03-20,2013,3,-8,False,1.0,2013-03
2013-03-29,2.532,2013-03-29,2013,3,-8,False,1.0,2013-03
2013-04-06,2.527,2013-04-06,2013,4,-8,False,1.0,2013-04
2013-04-19,3.056,2013-04-19,2013,4,-8,False,1.0,2013-04
2013-04-25,2.961,2013-04-25,2013,4,-8,False,1.0,2013-04
2013-05-04,2.743,2013-05-04,2013,5,-8,False,1.0,2013-05
2013-05-15,2.729,2013-05-15,2013,5,-8,False,1.0,2013-05
2013-05-31,2.681,2013-05-31,2013,5,-8,False,1.0,2013-05
2013-06-11,2.954,2013-06-11,2013,6,-8,False,1.0,2013-06
2013-06-20,2.954,2013-06-20,2013,6,-8,False,1.0,2013-06
2013-07-04,2.614,2013-07-04,2013,7,-8,False,3.0,2013-07
2013-07-12,2.8,2013-07-12,2013,7,-8,False,3.0,2013-07
2013-07-22,2.868,2013-07-22,2013,7,-8,False,3.0,2013-07
2013-08-16,3.029,2013-08-16,2013,8,-8,False,3.0,2013-08
2013-08-19,2.731,2013-08-19,2013,8,-8,False,3.0,2013-08
2013-08-30,5.255,2013-08-30,2013,8,-8,True,0.8999999999999999,2013-08
2013-09-28,2.846,2013-09-28,2013,9,-8,False,4.5,2013-09
2013-10-29,3.06,2013-10-29,2013,10,-8,False,1.5,2013-10
2013-11-13,2.776,2013-11-13,2013,11,-8,False,1.0,2013-11
2013-11-27,3.258,2013-11-27,2013,11,-8,False,1.0,2013-11
2013-12-11,2.531,2013-12-11,2013,12,-8,False,1.0,2013-12
2013-12-23,2.416,2013-12-23,2013,12,-8,False,1.0,2013-12
2014-01-10,2.945,2014-01-10,2014,1,-7,False,1.0,2014-01
2014-01-24,2.269,2014-01-24,2014,1,-7,False,1.0,2014-01
2014-02-03,2.88,2014-02-03,2014,2,-7,False,1.0,2014-02
2014-02-17,2.499,2014-02-17,2014,2,-7,False,1.0,2014-02
2014-02-23,2.485,2014-02-23,2014,2,-7,False,1.0,2014-02
2014-03-07,2.806,2014-03-07,2014,3,-7,False,1.0,2014-03
2014-03-17,2.65,2014-03-17,2014,3,-7,False,1.0,2014-03
2014-03-27,2.822,2014-03-27,2014,3,-7,False,1.0,2014-03
2014-04-04,3.05,2014-04-04,2014,4,-7,False,1.0,2014-04
2014-04-22,3.219,2014-04-22,2014,4,-7,False,1.0,2014-04
2014-05-16,2.33,2014-05-16,2014,5,-7,False,1.0,2014-05
2014-05-30,3.21,2014-05-30,2014,5,-7,False,1.0,2014-05
2014-06-16,3.04,2014-06-16,2014,6,-7,False,1.0,2014-06
2014-06-29,3.13,2014-06-29,2014,6,-7,False,1.0,2014-06
2014-07-23,2.95,2014-07-23,2014,7,-7,False,4.5,2014-07
2014-08-10,3.12,2014-08-10,2014,8,-7,False,3.0,2014-08
2014-08-27,2.96,2014-08-27,2014,8,-7,False,3.0,2014-08
2014-09-15,3.02,2014-09-15,2014,9,-7,False,3.0,2014-09
2014-09-29,3.31,2014-09-29,2014,9,-7,False,3.0,2014-09
2014-10-06,2.96,2014-10-06,2014,10,-7,False,1.0,2014-10
2014-10-21,3.21,2014-10-21,2014,10,-7,False,1.0,2014-10
2014-11-06,3.13,2014-11-06,2014,11,-7,False,1.0,2014-11
2014-11-21,2.76,2014-11-21,2014,11,-7,False,1.0,2014-11
2014-12-07,2.89,2014-12-07,2014,12,-7,False,1.0,2014-12
2014-12-20,2.88,2014-12-20,2014,12,-7,False,1.0,2014-12
2014-12-23,2.65,2014-12-23,2014,12,-7,False,1.0,2014-12
2014-12-26,2.59,2014-12-26,2014,12,-7,False,1.0,2014-12
2014-12-29,2.75,2014-12-29,2014,12,-7,False,1.0,2014-12
2014-12-31,2.71,2014-12-31,2014,12,-7,False,1.0,2014-12
2015-01-03,2.63,2015-01-03,2015,1,-6,False,1.0,2015-01
2015-01-07,2.84,2015-01-07,2015,1,-6,False,1.0,2015-01
2015-01-10,2.65,2015-01-10,2015,1,-6,False,1.0,2015-01
2015-01-13,2.31,2015-01-13,2015,1,-6,False,1.0,2015-01
2015-01-17,2.31,2015-01-17,2015,1,-6,False,1.0,2015-01
