检测日期,TQI值,TQI左高低,TQI右高低,TQI左轨向,TQI右轨向,TQI轨距,TQI三角坑,TQI水平,平均速度
2012-12-12,2.225,0.385,0.341,0.314,0.322,0.231,0.338,0.292,178.0
2012-12-20,2.183,0.39,0.32,0.305,0.314,0.227,0.338,0.29,196.0
2012-12-28,2.288,0.392,0.341,0.334,0.334,0.241,0.343,0.304,195.0
2013-01-10,2.274,0.406,0.315,0.347,0.35,0.212,0.341,0.304,111.0
2013-01-18,2.34,0.42,0.363,0.346,0.353,0.212,0.341,0.306,159.0
2013-01-30,2.334,0.406,0.32,0.355,0.364,0.227,0.355,0.308,191.0
2013-03-01,2.011,0.309,0.371,0.344,0.342,0.0,0.331,0.313,59.0
2013-03-20,2.744,0.523,0.522,0.319,0.354,0.242,0.371,0.413,194.0
2013-03-29,2.532,0.517,0.456,0.345,0.346,0.243,0.334,0.291,198.0
2013-04-06,2.527,0.525,0.449,0.341,0.341,0.247,0.32,0.304,196.0
2013-04-19,3.056,0.581,0.527,0.432,0.47,0.245,0.434,0.369,302.0
2013-04-25,2.961,0.554,0.515,0.437,0.463,0.258,0.399,0.335,304.0
2013-05-04,2.743,0.562,0.462,0.365,0.375,0.251,0.406,0.323,299.0
2013-05-15,2.729,0.563,0.508,0.36,0.377,0.245,0.374,0.302,300.0
2013-05-31,2.681,0.529,0.427,0.312,0.334,0.251,0.449,0.379,245.0
2013-06-11,2.954,0.655,0.565,0.354,0.375,0.227,0.429,0.348,298.0
2013-06-20,2.954,0.655,0.565,0.354,0.375,0.227,0.429,0.348,298.0
2013-07-04,2.614,0.435,0.491,0.336,0.363,0.266,0.397,0.326,299.0
2013-07-12,2.8,0.476,0.508,0.367,0.404,0.254,0.443,0.348,299.0
2013-07-22,2.868,0.552,0.581,0.345,0.365,0.271,0.425,0.328,297.0
2013-08-16,3.029,0.62,0.533,0.414,0.38,0.247,0.486,0.35,204.0
2013-08-19,2.731,0.584,0.49,0.345,0.353,0.241,0.393,0.325,295.0
2013-08-30,5.255,0.661,1.178,0.395,0.391,0.244,1.354,1.032,206.0
2013-09-28,2.846,0.542,0.488,0.385,0.374,0.243,0.474,0.34,206.0
2013-10-29,3.06,0.701,0.658,0.4,0.38,0.238,0.401,0.282,205.0
2013-11-13,2.776,0.588,0.573,0.361,0.342,0.228,0.379,0.305,205.0
2013-11-27,3.258,0.76,0.711,0.379,0.364,0.234,0.451,0.359,205.0
2013-12-11,2.531,0.48,0.544,0.302,0.328,0.27,0.326,0.281,97.0
2013-12-23,2.416,0.427,0.47,0.293,0.298,0.268,0.353,0.307,194.0
2014-01-10,2.945,0.532,0.79,0.306,0.305,0.257,0.412,0.344,196.0
2014-01-24,2.269,0.369,0.418,0.298,0.303,0.265,0.339,0.276,197.0
2014-02-03,2.88,0.679,0.574,0.284,0.293,0.261,0.405,0.384,196.0
2014-02-17,2.499,0.459,0.512,0.304,0.312,0.266,0.356,0.289,199.0
2014-02-23,2.485,0.43,0.501,0.326,0.331,0.267,0.347,0.283,197.0
2014-03-07,2.806,0.591,0.639,0.303,0.315,0.27,0.379,0.309,196.0
2014-03-17,2.65,0.502,0.57,0.307,0.332,0.273,0.365,0.302,197.0
2014-03-27,2.822,0.572,0.601,0.32,0.341,0.27,0.397,0.32,193.0
2014-04-04,3.05,0.71,0.73,0.3,0.33,0.28,0.39,0.31,193.0
2014-04-22,3.219,0.612,0.732,0.343,0.369,0.29,0.474,0.398,296.0
2014-05-16,2.33,0.64,0.66,0.0,0.0,0.26,0.43,0.34,296.0
2014-05-30,3.21,0.61,0.71,0.37,0.42,0.29,0.47,0.34,302.0
2014-06-16,3.04,0.68,0.46,0.4,0.34,0.33,0.43,0.4,302.0
2014-06-29,3.13,0.73,0.6,0.37,0.31,0.32,0.43,0.37,303.0
2014-07-23,2.95,0.58,0.53,0.38,0.32,0.33,0.47,0.34,299.0
2014-08-10,3.12,0.71,0.62,0.36,0.33,0.26,0.47,0.37,302.0
2014-08-27,2.96,0.71,0.6,0.35,0.32,0.26,0.4,0.31,297.0
2014-09-15,3.02,0.7,0.66,0.35,0.31,0.26,0.43,0.31,294.0
2014-09-29,3.31,0.81,0.78,0.34,0.32,0.26,0.47,0.34,293.0
2014-10-06,2.96,0.69,0.6,0.33,0.31,0.26,0.43,0.34,298.0
2014-10-21,3.21,0.79,0.74,0.33,0.31,0.26,0.43,0.34,297.0
2014-11-06,3.13,0.71,0.72,0.32,0.35,0.32,0.4,0.31,296.0
2014-11-21,2.76,0.56,0.5,0.33,0.3,0.26,0.47,0.34,296.0
2014-12-07,2.89,0.66,0.53,0.33,0.29,0.27,0.47,0.34,296.0
2014-12-20,2.88,0.62,0.53,0.35,0.31,0.26,0.43,0.37,196.0
2014-12-23,2.65,0.49,0.43,0.39,0.35,0.26,0.43,0.31,118.0
