步骤,日期,月份,真实TQI,预测,周期类型
1,01-02,1,2.4,1.6565634514704108,冬季周期
2,01-09,1,2.4,1.6565634514704108,冬季周期
3,01-18,1,2.4,1.6565634514704108,冬季周期
4,01-25,1,2.6,1.6565634514704108,冬季周期
5,02-04,2,2.3,1.5419205943275538,冬季周期
6,02-15,2,2.2,1.5419205943275538,冬季周期
7,02-20,2,2.1,1.5419205943275538,冬季周期
8,02-25,2,2.4,1.5419205943275538,冬季周期
9,03-03,3,2.2,1.7945634514704107,冬季周期
10,03-10,3,2.4,1.7945634514704107,冬季周期
11,03-18,3,2.0,1.7945634514704107,冬季周期
12,03-25,3,2.2,1.7945634514704107,冬季周期
13,04-10,4,2.0,2.116936868686729,过渡周期
14,04-18,4,2.0,2.116936868686729,过渡周期
15,04-25,4,2.0,2.116936868686729,过渡周期
16,05-05,5,2.0,2.0780808080806685,过渡周期
17,05-10,5,2.2,2.0780808080806685,过渡周期
18,05-20,5,2.0,2.0780808080806685,过渡周期
19,06-07,6,2.0,2.2647474747473346,过渡周期
20,06-20,6,2.1,2.2647474747473346,过渡周期
21,07-07,7,2.2,2.17389898989885,稳定期
22,07-20,7,2.2,2.17389898989885,稳定期
23,08-07,8,2.4,2.097626262626123,稳定期
24,08-20,8,2.1,2.097626262626123,稳定期
25,09-05,9,2.2,2.038474747474608,稳定期
26,09-19,9,2.2,2.038474747474608,稳定期
27,10-09,10,2.4,1.8583838383836981,过渡周期
28,10-23,10,2.2,1.8583838383836981,过渡周期
29,11-03,11,2.4,1.7741414141412737,过渡周期
30,11-09,11,2.6,1.7741414141412737,过渡周期
31,11-17,11,2.0,1.7741414141412737,过渡周期
32,11-24,11,2.5,1.7741414141412737,过渡周期
33,12-03,12,2.2,1.6052431051500646,冬季周期
34,12-10,12,2.4,1.6052431051500646,冬季周期
35,12-18,12,2.3,1.6052431051500646,冬季周期
36,12-25,12,2.6,1.6052431051500646,冬季周期
37,01-05,1,2.4,1.6565634514704108,冬季周期
38,01-11,1,2.4,1.6565634514704108,冬季周期
39,01-16,1,2.5,1.6565634514704108,冬季周期
40,01-22,1,2.2,1.6565634514704108,冬季周期
41,02-02,2,2.2,1.5419205943275538,冬季周期
42,02-09,2,2.4,1.5419205943275538,冬季周期
43,02-16,2,2.3,1.5419205943275538,冬季周期
44,02-23,2,2.2,1.5419205943275538,冬季周期
45,03-03,3,2.2,1.7945634514704107,冬季周期
46,03-10,3,2.6,1.7945634514704107,冬季周期
47,03-18,3,2.1,1.7945634514704107,冬季周期
48,04-03,4,2.2,2.116936868686729,过渡周期
49,04-10,4,2.2,2.116936868686729,过渡周期
50,04-25,4,2.0,2.116936868686729,过渡周期
51,05-06,5,2.0,2.0780808080806685,过渡周期
52,06-05,6,2.1,2.2647474747473346,过渡周期
53,06-20,6,1.9,2.2647474747473346,过渡周期
54,07-06,7,1.9,2.17389898989885,稳定期
55,07-19,7,1.9,2.17389898989885,稳定期
56,08-04,8,2.0,2.097626262626123,稳定期
57,08-20,8,2.0,2.097626262626123,稳定期
58,09-04,9,2.1,2.038474747474608,稳定期
59,09-20,9,2.0,2.038474747474608,稳定期
60,10-10,10,2.0,1.8583838383836981,过渡周期
61,10-23,10,2.2,1.8583838383836981,过渡周期
62,11-03,11,2.2,1.7741414141412737,过渡周期
63,11-10,11,2.1,1.7741414141412737,过渡周期
64,11-18,11,2.0,1.7741414141412737,过渡周期
65,11-25,11,2.1,1.7741414141412737,过渡周期
66,12-03,12,1.9,1.6052431051500646,冬季周期
67,12-10,12,2.2,1.6052431051500646,冬季周期
68,12-27,12,2.0,1.6052431051500646,冬季周期
69,01-03,1,2.2,1.6565634514704108,冬季周期
70,01-09,1,2.1,1.6565634514704108,冬季周期
71,01-18,1,2.0,1.6565634514704108,冬季周期
72,01-26,1,2.2,1.6565634514704108,冬季周期
73,02-02,2,2.3,1.5419205943275538,冬季周期
74,02-09,2,2.4,1.5419205943275538,冬季周期
75,02-21,2,2.6,1.5419205943275538,冬季周期
76,02-26,2,2.0,1.5419205943275538,冬季周期
77,03-05,3,2.0,1.7945634514704107,冬季周期
78,03-12,3,2.2,1.7945634514704107,冬季周期
79,03-19,3,1.9,1.7945634514704107,冬季周期
