步骤,日期,月份,真实TQI,融合预测,优先级
1,01-02,1,2.4,2.5023555361749032,P1
2,01-09,1,2.4,2.6051494661379477,P1
3,01-18,1,2.4,2.481754704074746,P1
4,01-25,1,2.6,2.541452295759163,P1
5,02-04,2,2.3,2.1755812308856513,P2
6,02-15,2,2.2,2.0475982475464773,P2
7,02-20,2,2.1,2.1052523308851954,P2
8,02-25,2,2.4,2.2070737346900344,P2
9,03-03,3,2.2,2.19008748542627,P2
10,03-10,3,2.4,2.2035408669770846,P2
11,03-18,3,2.0,2.1088194067923594,P2
12,03-25,3,2.2,2.14131366490738,P2
13,04-10,4,2.0,2.0593979940149483,P2
14,04-18,4,2.0,2.317913186166556,P2
15,04-25,4,2.0,2.378985177634562,P2
16,05-05,5,2.0,2.2748606305937678,P2
17,05-10,5,2.2,2.5519921327551263,P2
18,05-20,5,2.0,2.4932993094459324,P2
19,06-07,6,2.0,2.4433637026977353,P2
20,06-20,6,2.1,2.356673482938821,P2
21,07-07,7,2.2,3.3940079405603454,P0
22,07-20,7,2.2,2.8386381380674983,P0
23,08-07,8,2.4,3.4100575912288886,P0
24,08-20,8,2.1,3.2618527151356775,P0
25,09-05,9,2.2,3.3323185065714442,P0
26,09-19,9,2.2,3.133552189825321,P0
