步骤,日期,月份,真实TQI,预测原始,预测修正,优先级
1,01-02,1,2.4,2.1235735048409445,2.1235735048409445,P1
2,01-09,1,2.4,2.067138914706232,2.067138914706232,P1
3,01-18,1,2.4,2.10330276595647,2.10330276595647,P1
4,01-25,1,2.6,2.0311649541848773,2.0311649541848773,P1
5,02-04,2,2.3,2.1518239447575125,2.1518239447575125,P2
6,02-15,2,2.2,2.0258405903296106,2.0258405903296106,P2
7,02-20,2,2.1,2.2558528813036967,2.2558528813036967,P2
8,02-25,2,2.4,2.105167137638264,2.105167137638264,P2
9,03-03,3,2.2,2.504589604519146,2.504589604519146,P2
10,03-10,3,2.4,2.307523775131397,2.307523775131397,P2
11,03-18,3,2.0,2.3364835030964963,2.3364835030964963,P2
12,03-25,3,2.2,2.437020510082088,2.437020510082088,P2
13,04-10,4,2.0,2.5270214534920497,2.5270214534920497,P2
14,04-18,4,2.0,2.521911950437674,2.521911950437674,P2
15,04-25,4,2.0,2.580811121877125,2.580811121877125,P2
16,05-05,5,2.0,2.5539091238122817,2.5539091238122817,P2
17,05-10,5,2.2,2.504016541954708,2.504016541954708,P2
18,05-20,5,2.0,2.221535665091581,2.221535665091581,P2
19,06-07,6,2.0,2.239688679929497,2.239688679929497,P2
20,06-20,6,2.1,2.1337257111866763,2.1337257111866763,P2
21,07-07,7,2.2,2.2588778085399377,2.558371608835099,P0
22,07-20,7,2.2,2.1998217769487645,2.517032386721278,P0
23,08-07,8,2.4,2.0802302387439093,2.4333183099778792,P0
24,08-20,8,2.1,1.8567257733990001,2.276865184236443,P0
25,09-05,9,2.2,2.1828536697380185,2.5051547116737556,P0
26,09-19,9,2.2,2.3915408506993483,2.6512357383466867,P0
