步骤,日期,月份,真实TQI,预测,优先级
1,01-02,1,2.4,2.1151328587742313,P1
2,01-09,1,2.4,2.1000798919782078,P1
3,01-18,1,2.4,2.0418958239071117,P1
4,01-25,1,2.6,2.108530091058892,P1
5,02-04,2,2.3,2.1455141677746816,P2
6,02-15,2,2.2,2.073415725907439,P2
7,02-20,2,2.1,2.17366763272204,P2
8,02-25,2,2.4,2.311274894349872,P2
9,03-03,3,2.2,2.4026787919064594,P2
10,03-10,3,2.4,2.262679558183109,P2
11,03-18,3,2.0,2.2077607903578214,P2
12,03-25,3,2.2,2.267907153596423,P2
13,04-10,4,2.0,2.29051798291911,P2
14,04-18,4,2.0,2.569919791264474,P2
15,04-25,4,2.0,2.5824193195732716,P2
16,05-05,5,2.0,2.3232950543464668,P2
17,05-10,5,2.2,2.299738272098538,P2
18,05-20,5,2.0,2.38091633289646,P2
19,06-07,6,2.0,2.0627306605999602,P2
20,06-20,6,2.1,2.1117942256280475,P2
21,07-07,7,2.2,1.808371714083017,P0
22,07-20,7,2.2,1.780553667622334,P0
23,08-07,8,2.4,2.007715916483245,P0
24,08-20,8,2.1,1.8017246943568817,P0
25,09-05,9,2.2,1.928873566653319,P0
26,09-19,9,2.2,1.9487589743477214,P0
