步骤,日期,月份,真实TQI,融合预测,优先级
1,01-02,1,2.4,2.614079866567308,P1
2,01-09,1,2.4,2.6683316734509575,P1
3,01-18,1,2.4,2.662586744459628,P1
4,01-25,1,2.6,2.5987735107069616,P1
5,02-04,2,2.3,2.190002931976939,P2
6,02-15,2,2.2,2.0424809290187995,P2
7,02-20,2,2.1,2.099154796153984,P2
8,02-25,2,2.4,2.18795545401027,P2
9,03-03,3,2.2,2.1848484465895526,P2
10,03-10,3,2.4,2.200982468176835,P2
11,03-18,3,2.0,2.1563469215891176,P2
12,03-25,3,2.2,2.227701713259375,P2
13,04-10,4,2.0,2.0446966599646093,P2
14,04-18,4,2.0,2.328183112463078,P2
15,04-25,4,2.0,2.3454572818237973,P2
16,05-05,5,2.0,2.2349856182929697,P2
17,05-10,5,2.2,2.4522273207567373,P2
18,05-20,5,2.0,2.438071260024218,P2
19,06-07,6,2.0,2.391817715663521,P2
20,06-20,6,2.1,2.311831975396104,P2
21,07-07,7,2.2,2.153333333333194,P0
22,07-20,7,2.2,2.153333333333194,P0
23,08-07,8,2.4,2.153333333333194,P0
24,08-20,8,2.1,2.153333333333194,P0
25,09-05,9,2.2,2.153333333333194,P0
26,09-19,9,2.2,2.153333333333194,P0
