步骤,日期,月份,真实TQI,预测,优先级
1,01-02,1,2.4,2.112683225202024,P1
2,01-09,1,2.4,2.1602091107745602,P1
3,01-18,1,2.4,2.0454132515575036,P1
4,01-25,1,2.6,2.19701326927197,P1
5,02-04,2,2.3,2.160798728676981,P2
6,02-15,2,2.2,2.160684858382429,P2
7,02-20,2,2.1,2.153890750115118,P2
8,02-25,2,2.4,2.3114372919828425,P2
9,03-03,3,2.2,2.3504696505145914,P2
10,03-10,3,2.4,2.264769239320959,P2
11,03-18,3,2.0,2.3387877965220203,P2
12,03-25,3,2.2,2.429104638759549,P2
13,04-10,4,2.0,2.426526340175491,P2
14,04-18,4,2.0,2.6911798690817434,P2
15,04-25,4,2.0,2.6307089238486405,P2
16,05-05,5,2.0,2.478845539269284,P2
17,05-10,5,2.2,2.427653753536448,P2
18,05-20,5,2.0,2.5450194144486677,P2
19,06-07,6,2.0,2.004317213988877,P2
20,06-20,6,2.1,2.157727197239332,P2
21,07-07,7,2.2,2.153333333333194,P0
22,07-20,7,2.2,2.153333333333194,P0
23,08-07,8,2.4,2.153333333333194,P0
24,08-20,8,2.1,2.153333333333194,P0
25,09-05,9,2.2,2.153333333333194,P0
26,09-19,9,2.2,2.153333333333194,P0
27,10-09,10,2.4,1.8781657227381192,P2
28,10-23,10,2.2,1.8781657227381192,P2
29,11-03,11,2.4,1.9725637641511482,P2
30,11-09,11,2.6,1.9725637641511482,P2
31,11-17,11,2.0,1.9725637641511482,P2
32,11-24,11,2.5,1.9725637641511482,P2
33,12-03,12,2.2,2.071331274633872,P2
34,12-10,12,2.4,2.071331274633872,P2
35,12-18,12,2.3,2.071331274633872,P2
36,12-25,12,2.6,2.071331274633872,P2
37,01-05,1,2.4,2.152351131688713,P2
38,01-11,1,2.4,2.152351131688713,P2
39,01-16,1,2.5,2.152351131688713,P2
40,01-22,1,2.2,2.152351131688713,P2
41,02-02,2,2.2,2.1949318819635906,P2
42,02-09,2,2.4,2.1949318819635906,P2
43,02-16,2,2.3,2.1949318819635906,P2
44,02-23,2,2.2,2.1949318819635906,P2
45,03-03,3,2.2,2.1574848449148107,P2
46,03-10,3,2.6,2.1574848449148107,P2
47,03-18,3,2.1,2.1574848449148107,P2
48,04-03,4,2.2,2.0612692294790538,P2
49,04-10,4,2.2,2.0612692294790538,P2
50,04-25,4,2.0,2.0612692294790538,P2
51,05-06,5,2.0,1.977382649534222,P2
52,06-05,6,2.1,1.9133606868715411,P2
53,06-20,6,1.9,1.9133606868715411,P2
54,07-06,7,1.9,2.153333333333194,P0
55,07-19,7,1.9,2.153333333333194,P0
56,08-04,8,2.0,2.153333333333194,P0
57,08-20,8,2.0,2.153333333333194,P0
58,09-04,9,2.1,2.153333333333194,P0
59,09-20,9,2.0,2.153333333333194,P0
60,10-10,10,2.0,1.8781657227381192,P2
61,10-23,10,2.2,1.8781657227381192,P2
62,11-03,11,2.2,1.9725637641511482,P2
63,11-10,11,2.1,1.9725637641511482,P2
64,11-18,11,2.0,1.9725637641511482,P2
65,11-25,11,2.1,1.9725637641511482,P2
66,12-03,12,1.9,2.071331274633872,P2
67,12-10,12,2.2,2.071331274633872,P2
68,12-27,12,2.0,2.071331274633872,P2
69,01-03,1,2.2,2.152351131688713,P2
70,01-09,1,2.1,2.152351131688713,P2
71,01-18,1,2.0,2.152351131688713,P2
72,01-26,1,2.2,2.152351131688713,P2
73,02-02,2,2.3,2.1949318819635906,P2
74,02-09,2,2.4,2.1949318819635906,P2
75,02-21,2,2.6,2.1949318819635906,P2
76,02-26,2,2.0,2.1949318819635906,P2
77,03-05,3,2.0,2.1574848449148107,P2
78,03-12,3,2.2,2.1574848449148107,P2
79,03-19,3,1.9,2.1574848449148107,P2
