mile,n_train,n_test,Historical_Mean_MAE,Moving_Average_MAE,Holt_Winters_MAE,Trident_v21_MAE,Trident_v23_no_seasonal_MAE
1184400,312,67,0.11732898009950252,0.16631840796019878,,0.11732898009950252,0.11732898009950252
1188400,316,68,0.8365949367088612,0.124705882352941,,0.15186274509803924,0.15186274509803924
709400,312,68,1.1992139894419311,1.753627450980392,,0.15782352941176458,0.15782352941176458
1157400,314,68,0.3194923192206822,0.9331372549019602,,0.3194923192206822,0.8527863777089781
1211400,314,68,0.1774192581491193,0.29911764705882343,,0.35995798319327726,0.35995798319327726
1235400,305,66,0.21919970193740673,0.14292929292929296,,0.13696969696969713,0.21919970193740673
890400,309,67,0.24334009563831333,0.24664179104477582,,0.3274626865671644,0.3274626865671644
739400,313,68,0.49941947002443193,1.1478431372549012,,0.18700000000000006,0.18700000000000006
1144400,298,65,0.17210273618998428,0.3224102564102568,,0.17210273618998428,0.17210273618998428
887400,313,68,0.21755666228152593,0.494509803921569,,0.397705882352941,0.397705882352941
886400,314,68,0.22362382914949414,0.26213235294117626,,0.22362382914949414,0.22362382914949414
901400,310,67,0.2322412132883965,0.23613184079602,,0.2322412132883965,0.2322412132883965
898400,311,67,0.46116043576330573,0.43120646766169124,,0.22689552238805977,0.22689552238805977
1210400,315,68,0.8738586367880483,0.3150000000000001,,0.8738586367880483,0.25488235294117634
894400,312,67,0.43804032721010333,0.5795895522388056,,0.43804032721010333,0.5568283582089548
831400,313,68,0.7389708701371921,0.26764705882352946,,0.24558823529411775,0.24558823529411775
897400,310,67,0.27297664901299956,0.4176492537313433,,0.27297664901299956,0.3719925373134328
930400,309,67,0.3413182147514851,0.6791915422885578,,0.3413182147514851,0.5333582089552233
960400,311,67,0.5946996208667269,1.1065174129353232,,0.5946996208667269,0.9998507462686574
746400,310,67,0.4260866634569093,0.48843283582089564,,0.4260866634569093,0.5029850746268655
910400,310,67,0.2436434761675495,0.25945273631840776,,0.2436434761675495,0.2436434761675495
770400,312,67,0.31867288557213924,0.4161940298507461,,0.24677611940298505,0.24677611940298505
846400,311,67,0.5491029418822282,1.1417412935323383,,0.29253731343283573,0.29253731343283573
952400,312,67,0.8416106965174132,0.4047885572139304,,0.22791044776119393,0.22791044776119393
1023400,310,67,0.27993177660086627,0.15287313432835825,,0.27993177660086627,0.27993177660086627
1213400,315,68,0.3065162464985991,0.19313725490196082,,0.14957983193277297,0.3065162464985991
880400,308,67,0.3049304613297149,0.9093781094527356,,0.3297611940298509,0.3297611940298509
1233400,308,66,0.43183844942935873,0.4930303030303024,,0.43183844942935873,0.5524374176548091
888400,310,67,0.31904419836302356,0.3916044776119403,,0.31904419836302356,0.45584932480454865
1191400,315,68,0.3172313725490193,0.14610294117647069,,0.14524509803921573,0.3172313725490193
830400,310,67,0.30215392392874346,0.31175373134328366,,0.30215392392874346,0.30215392392874346
1025400,312,68,1.394954939668175,0.3336764705882354,,1.394954939668175,0.34888235294117664
749400,312,67,0.7379695273631842,1.1544776119402982,,0.7379695273631842,1.1262970859985781
848400,310,67,0.563878478574868,0.5841417910447766,,0.3169253731343283,0.3169253731343283
896400,312,68,0.4603817873303169,0.44139705882352964,,0.3177058823529413,0.3177058823529413
773400,312,68,0.333870286576169,0.47490196078431396,,0.333870286576169,0.6510216718266262
734400,309,67,0.2929915471187749,0.3103731343283583,,0.34922388059701437,0.2929915471187749
1063400,314,68,0.5627718246534286,0.5641176470588237,,0.3123529411764706,0.3123529411764706
811400,311,67,0.25875058789653027,0.28354477611940293,,0.25875058789653027,0.25875058789653027
936400,310,67,0.3045241694752047,0.5370895522388061,,0.24623880597014922,0.3045241694752047
973400,310,67,0.8426285989407801,1.2532587064676617,,0.3669253731343285,0.3669253731343285
1209400,313,68,0.32294136440518706,0.17473039215686276,,0.1631372549019609,0.32294136440518706
891400,311,67,0.5252721600998225,0.4741915422885571,,0.5252721600998225,0.6115849324804549
885400,313,68,0.2957996617177222,0.41213235294117634,,0.7000588235294115,0.7000588235294115
854400,311,67,0.8938985458559292,0.29616915422885576,,0.31604477611940307,0.31604477611940307
747400,311,67,0.7926949656860388,1.0020522388059707,,0.7926949656860388,1.085485074626865
1207400,315,68,0.9659404295051359,0.5539705882352943,,0.36470588235294155,0.36470588235294155
884400,308,67,1.1245256348129484,1.609689054726368,,0.3544776119402986,0.3544776119402986
832400,310,67,0.3106431872893597,0.3436567164179104,,0.3234925373134328,0.3106431872893597
855400,312,67,0.9612411021814005,0.2659203980099502,,0.30791044776119403,0.30791044776119403
902400,310,67,0.40888675974963906,0.30807213930348276,,0.22955223880597003,0.22955223880597003
899400,311,67,0.5073069539761004,0.4826492537313434,,0.35549253731343283,0.35549253731343283
971400,311,67,0.46108811249220144,0.7315920398009949,,0.41089552238805965,0.41089552238805965
943400,310,67,0.4905247953779488,0.9635572139303488,,0.4905247953779488,0.8184446190102121
755400,312,67,0.556604764638347,0.8118034825870648,,0.22226865671641793,0.22226865671641793
892400,312,68,0.41370710784313713,0.3147058823529415,,0.2786470588235292,0.41370710784313713
750400,312,67,0.7943874378109451,1.1724502487562185,,0.7943874378109451,1.121679104477612
976400,312,67,0.5970504209720627,0.9302363184079602,,0.4454029850746269,0.4454029850746269
906400,310,67,0.5566762156957149,0.8368781094527362,,0.4395223880597016,0.4395223880597016
850400,308,66,0.48810999606454164,0.46398989898989895,,0.48810999606454164,0.5701212121212124
1189400,315,68,0.3721568627450981,0.19117647058823528,,0.25205882352941184,0.3721568627450981
1180400,315,68,0.6842913165266103,0.5068627450980392,,0.412294117647059,0.6842913165266103
937400,310,67,0.4765374578719308,0.916218905472637,,0.42217910447761225,0.42217910447761225
893400,312,68,0.5770625942684766,0.4907352941176471,,0.39641176470588224,0.39641176470588224
1156400,315,68,0.6026718954248363,1.1669607843137255,,0.6026718954248363,1.142294117647059
913400,311,67,0.4134520324422901,0.3569651741293532,,0.4134520324422901,0.4134520324422901
915400,308,66,0.7265541125541128,0.7454545454545456,,0.7265541125541128,0.7632878787878784
1009400,312,67,0.7255506123229999,0.8876990049751236,,0.40940298507462736,0.40940298507462736
745400,311,67,0.25177088832365496,0.8424004975124375,,0.25177088832365496,0.6813290689410089
853400,312,67,1.3426909203980093,0.3805348258706468,,0.39651741293532333,0.39651741293532333
934400,312,68,0.58458371040724,0.986176470588236,,0.44994117647058823,0.44994117647058823
777400,314,68,0.511116523042338,1.6651470588235298,,0.511116523042338,1.7814558823529405
