新编号,原标识,来源,里程,记录数,TQI均值,TQI标准差,最佳MAE,改善幅度,类型
0,5号,原始样本,-,250,2.04,0.192,0.087,4%,稳定型基准
1,3号,原始样本,-,477,2.95,0.616,0.294,54%,波动型基准
2,里程240400,批量样本,240400,232,1.462155172413793,0.1008518353844046,0.047235038130802,35.2%,极优MAE代表
3,里程132400,批量样本,132400,167,1.4340119760479042,0.072867761726869,0.0486264472699563,17.8%,次优MAE代表
4,里程106400,批量样本,106400,168,1.4326785714285717,0.0771224488259872,0.0511026793595998,14.6%,低TQI稳定
5,里程1011400,批量样本,1011400,504,3.0853690476190474,1.0035295696348447,0.2954910794403222,83.8%,最高改善代表
6,里程1190400,批量样本,1190400,507,2.2361360946745563,0.7607291431697107,0.1902669752421356,72.0%,滚动锚定优势
7,里程1208400,批量样本,1208400,503,2.766149105367793,0.5653946931111062,0.2278014300636688,60.7%,均衡型代表
8,里程501400,批量样本,501400,252,1.7950793650793648,0.1902242167554717,0.0827993708610052,60.4%,低TQI高改善
9,里程413400,批量样本,413400,243,2.042098765432099,0.1251582408249789,0.052602945274115,42.7%,批量样本
10,里程149400,批量样本,149400,160,1.630375,0.0866489156954371,0.0536428571428571,19.1%,批量样本
11,里程353400,批量样本,353400,228,1.8568421052631576,0.0777584171340692,0.0583440126351278,10.8%,批量样本
12,里程415400,批量样本,415400,237,2.342278481012659,0.1297744069375313,0.0621139145509615,42.7%,批量样本
13,里程331400,批量样本,331400,243,1.6290946502057613,0.1239601512724667,0.0632489858813028,42.8%,批量样本
14,里程165400,批量样本,165400,180,1.5275555555555551,0.1167991267196931,0.0640928647822766,34.1%,批量样本
15,里程210400,批量样本,210400,244,1.578360655737705,0.1053691192198404,0.064254940175993,34.4%,批量样本
16,里程330400,批量样本,330400,242,1.5613223140495869,0.131325462155633,0.0684611567558226,52.4%,批量样本
17,里程314400,批量样本,314400,243,1.6886831275720162,0.107353178630531,0.0696244643331065,38.9%,批量样本
18,里程338400,批量样本,338400,245,1.9210204081632656,0.1312556774409718,0.0700035061250298,35.8%,批量样本
19,里程312400,批量样本,312400,244,1.6258196721311478,0.1280003868559896,0.0724555295967835,50.0%,批量样本
20,里程546400,批量样本,546400,250,1.83008,0.10982275607088,0.0726230942315239,16.0%,批量样本
21,里程245400,批量样本,245400,245,1.5934285714285714,0.1081688116014902,0.0749158679244491,11.9%,批量样本
22,里程311400,批量样本,311400,241,1.5676348547717844,0.1089180094386736,0.0750645642400898,25.1%,批量样本
23,里程220400,批量样本,220400,243,1.6574897119341565,0.139170635562281,0.0763020480504364,35.3%,批量样本
24,里程204400,批量样本,204400,232,1.4896120689655172,0.1080417004271901,0.0767415317979043,16.0%,批量样本
25,里程317400,批量样本,317400,245,1.6128979591836734,0.1188821300973099,0.0771064056950278,37.5%,批量样本
26,里程418400,批量样本,418400,253,1.8030434782608693,0.1821014513350453,0.0784478663466341,49.7%,批量样本
27,里程282400,批量样本,282400,241,1.6914937759336102,0.1134030834505816,0.0798307953987316,20.2%,批量样本
28,里程91400,批量样本,91400,182,1.5177472527472526,0.1123819546087924,0.0803244588744588,24.6%,批量样本
29,里程336400,批量样本,336400,245,1.7157142857142855,0.1562941740835499,0.0809333771087641,44.4%,批量样本
